condFile,numWords,condFiles,testFiles,audioTrue,imageTrue,currentPhase,imageFalse,truePos,falsePos,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,test3Loop.thisRepN,test3Loop.thisTrialN,test3Loop.thisN,test3Loop.thisIndex,postTestLoop.thisRepN,postTestLoop.thisTrialN,postTestLoop.thisN,postTestLoop.thisIndex,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.started,skipTrain1Type.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.started,train1QuestAdvance.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,chooseImageTrain1.started,chooseImageTrain1.stopped,train1F.started,train1F.stopped,train1J.started,train1J.stopped,correctFeed.started,correctFeed.stopped,incorrectFeed.started,incorrectFeed.stopped,fFeedback.started,fFeedback.stopped,jFeedback.started,jFeedback.stopped,circle.started,circle.stopped,xTrain.started,xTrain.stopped,train1Instructions.started,train1Instructions.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,test1Text.started,test1Text.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test2warning3.started,test2warning3.stopped,test2warning2.started,test2warning2.stopped,test2warning1.started,test2warning1.stopped,test2Text.started,test2Text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,skipTest3Instr.keys,skipTest3Instr.rt,skipTest3Instr.started,skipTest3Instr.stopped,test3warning3.started,test3warning3.stopped,test3warning2.started,test3warning2.stopped,test3warning1.started,test3warning1.stopped,skipPostTestInstr.keys,skipPostTestInstr.rt,skipPostTestInstr.started,skipPostTestInstr.stopped,postTestInstrText.started,postTestInstrText.stopped,byeText.started,byeText.stopped,quit.keys,quit.rt,quit.started,quit.stopped,participant,ID Number,date,expName,psychopyVersion,frameRate,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block4.xlsx,aoiConditions/train1P1Block4Test.xlsx,trainingaudio/18_popata2.wav,pngimages/18_donut.png,train1P1,pngimages/17_cracker.png,0.5,-0.5,0,0,0,0,0,3,3,3,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.48965657859807,None,162.49035525482032,None,162.49035525482032,None,j,1.1545462474459782,163.49159523146227,None,162.00312184129143,None,163.49159523146227,None,163.49159523146227,None,164.69824466280988,None,164.69824466280988,None,164.69824466280988,None,164.69824466280988,None,164.69824466280988,None,164.69824466280988,None,164.69824466280988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Instructions,1234,2021_Jan_23_1637,experiment,2020.1.3,60.181081538179974,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block4.xlsx,aoiConditions/train1P1Block4Test.xlsx,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Instructions,1234,2021_Jan_23_1637,experiment,2020.1.3,60.181081538179974,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block5.xlsx,aoiConditions/train1P1Block5Test.xlsx,,,,,,,0,0,0,0,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.7089959851757,None,None,165.7089959851757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Instructions,1234,2021_Jan_23_1637,experiment,2020.1.3,60.181081538179974,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block5.xlsx,aoiConditions/train1P1Block5Test.xlsx,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,train1P1,pngimages/09_plane.png,0.5,-0.5,0,0,0,0,0,4,4,4,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.2592973138613,None,166.26016061549308,None,166.26016061549308,None,j,4.026438612665515,167.2601662792149,None,165.7708731602761,None,167.2601662792149,None,167.2601662792149,None,171.36656375063467,None,171.36656375063467,None,171.36656375063467,None,171.36656375063467,None,171.36656375063467,None,171.36656375063467,None,171.36656375063467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Instructions,1234,2021_Jan_23_1637,experiment,2020.1.3,60.181081538179974,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block5.xlsx,aoiConditions/train1P1Block5Test.xlsx,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Instructions,1234,2021_Jan_23_1637,experiment,2020.1.3,60.181081538179974,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block6.xlsx,aoiConditions/train1P1Block6Test.xlsx,,,,,,,0,0,0,0,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.34787884327233,None,None,172.34787884327233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Instructions,1234,2021_Jan_23_1637,experiment,2020.1.3,60.181081538179974,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block6.xlsx,aoiConditions/train1P1Block6Test.xlsx,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,train1P1,pngimages/03_box.png,-0.5,0.5,0,0,0,0,0,5,5,5,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.84802606218145,None,172.8482029211882,None,172.8482029211882,None,j,1.0365400422888342,173.84983331678086,None,172.37131485476857,None,173.84983331678086,None,173.84983331678086,None,174.93927625991637,None,174.93927625991637,None,174.93927625991637,None,174.93927625991637,None,174.93927625991637,None,174.93927625991637,None,174.93927625991637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Instructions,1234,2021_Jan_23_1637,experiment,2020.1.3,60.181081538179974,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block6.xlsx,aoiConditions/train1P1Block6Test.xlsx,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Instructions,1234,2021_Jan_23_1637,experiment,2020.1.3,60.181081538179974,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block7.xlsx,aoiConditions/train1P1Block7Test.xlsx,,,,,,,0,0,0,0,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.95099947629495,None,None,175.95099947629495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Instructions,1234,2021_Jan_23_1637,experiment,2020.1.3,60.181081538179974,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block7.xlsx,aoiConditions/train1P1Block7Test.xlsx,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,train1P1,pngimages/10_backpack.png,0.5,-0.5,0,0,0,0,0,6,6,6,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.4679584977799,None,176.46845328019117,None,176.46845328019117,None,j,0.18468742127879523,177.46960339249927,None,175.98137996110017,None,177.46960339249927,None,177.46960339249927,None,177.70924775631283,None,177.70924775631283,None,177.70924775631283,None,177.70924775631283,None,177.70924775631283,None,177.70924775631283,None,177.70924775631283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Instructions,1234,2021_Jan_23_1637,experiment,2020.1.3,60.181081538179974,
