condFile,numWords,condFiles,testFiles,audioTrue,imageTrue,currentPhase,imageFalse,truePos,falsePos,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.started,skipTrain1Type.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.rt,train1QuestAdvance.started,train1QuestAdvance.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,chooseImageTrain1.started,chooseImageTrain1.stopped,train1F.started,train1F.stopped,train1J.started,train1J.stopped,correctFeed.started,correctFeed.stopped,incorrectFeed.started,incorrectFeed.stopped,fFeedback.started,fFeedback.stopped,jFeedback.started,jFeedback.stopped,circle.started,circle.stopped,xTrain.started,xTrain.stopped,train1Instructions.started,train1Instructions.stopped,skipTrain1Type.rt,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block6.xlsx,aoiConditions/train1P1Block6Test.xlsx,trainingaudio/14_pokoto1.wav,pngimages/14_coffee.png,train1P1,pngimages/13_toast.png,-0.5,0.5,0,0,0,0,0,5,5,5,,,,,0,0,0,0,,,,,,,,67.14631821028888,None,j,0.5109838247299194,67.14631821028888,None,68.20878381240182,None,68.20889504766092,None,68.20889504766092,None,f,0.9933738349936903,69.19208364188671,None,67.70070909708738,None,69.19208364188671,None,69.19208364188671,None,70.23672048468143,None,70.23672048468143,None,70.23672048468143,None,70.23672048468143,None,70.23672048468143,None,70.23672048468143,None,70.23672048468143,None,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block6.xlsx,aoiConditions/train1P1Block6Test.xlsx,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block7.xlsx,aoiConditions/train1P1Block7Test.xlsx,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,train1P1,pngimages/15_barrel.png,0.5,-0.5,0,0,0,0,0,6,6,6,,,,,0,0,0,0,,,,,,,,71.22863232716918,None,f,0.5392397036775947,71.22863232716918,None,72.34123159297742,None,72.34568538470194,None,72.34568538470194,None,j,1.2045751460827887,73.3457763819024,None,71.85659520328045,None,73.3457763819024,None,73.3457763819024,None,74.61876538675278,None,74.61876538675278,None,74.61876538675278,None,74.61876538675278,None,74.61876538675278,None,74.61876538675278,None,74.61876538675278,None,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block7.xlsx,aoiConditions/train1P1Block7Test.xlsx,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block8.xlsx,aoiConditions/train1P1Block8Test.xlsx,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,train1P1,pngimages/07_suitcase.png,0.5,-0.5,0,0,0,0,0,7,7,7,,,,,0,0,0,0,,,,,,,,75.59467950975522,None,j,0.40566597739234567,75.59467950975522,None,76.539686910389,None,76.53967958502471,None,76.53967958502471,None,j,0.4871879299171269,77.53958065900952,None,76.04885404277593,None,77.53958065900952,None,77.53958065900952,None,78.07633097236976,None,78.07633097236976,None,78.07633097236976,None,78.07633097236976,None,78.07633097236976,None,78.07633097236976,None,78.07633097236976,None,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block8.xlsx,aoiConditions/train1P1Block8Test.xlsx,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block9.xlsx,aoiConditions/train1P1Block9Test.xlsx,trainingaudio/94_kipipi1.wav,pngimages/94_house.png,train1P1,pngimages/20_pizza.png,0.5,-0.5,0,0,0,0,0,8,8,8,,,,,0,0,0,0,,,,,,,,79.0760912084952,None,j,0.09682869911193848,79.0760912084952,None,79.72187944599428,None,79.72265748912469,None,79.72265748912469,None,j,0.4185558292083442,80.73855137405917,None,79.23014604859054,None,80.73855137405917,None,80.73855137405917,None,81.23033219575882,None,81.23033219575882,None,81.23033219575882,None,81.23033219575882,None,81.23033219575882,None,81.23033219575882,None,81.23033219575882,None,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block9.xlsx,aoiConditions/train1P1Block9Test.xlsx,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block10.xlsx,aoiConditions/train1P1Block10Test.xlsx,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,train1P1,pngimages/21_cheese.png,0.5,-0.5,0,0,0,0,0,9,9,9,,,,,0,0,0,0,,,,,,,,82.20885011553764,None,j,0.5573054328560829,82.20885011553764,None,83.32130929925479,None,83.32148774387315,None,83.32148774387315,None,j,0.33917740266770124,84.32123023364693,None,82.82442758791149,None,84.32123023364693,None,84.32123023364693,None,84.73036731081083,None,84.73036731081083,None,84.73036731081083,None,84.73036731081083,None,84.73036731081083,None,84.73036731081083,None,84.73036731081083,None,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block10.xlsx,aoiConditions/train1P1Block10Test.xlsx,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTICIPANT,001,2020_Aug_21_1221,condition1,2020.1.3,59.84864072933818,
