condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1TestAnswer.keys,train1TestAnswer.rt,train1TestAnswer.started,train1TestAnswer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,trainaudio/18_popata.wav,pngimages/18_donut.png,,,,,,,0,0,0,0,0,0,0,0,,,,,13.627552964171628,None,26.915964448518935,None,26.937664837532793,None,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,trainaudio/27_pakapa.wav,pngimages/27_kiwi.png,,,,,,,0,0,0,0,0,1,1,1,,,,,,,28.3502982698119,None,28.35094495213707,None,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,trainaudio/10_tokiti.wav,pngimages/100_bicycle.png,,,,,,,0,0,0,0,0,2,2,2,,,,,,,29.864554807893,None,29.85572946499451,None,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,trainaudio/22_kakoki.wav,pngimages/22_egg.png,,,,,,,0,0,0,0,0,3,3,3,,,,,,,31.348772466517403,None,31.348514088094817,None,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,trainaudio/01_kitipi.wav,pngimages/01_gift.png,,,,,,,0,0,0,0,0,4,4,4,,,,,,,32.83335675591661,None,32.837673182060826,None,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,trainaudio/24_takopa.wav,pngimages/24_banana.png,,,,,,,0,0,0,0,0,5,5,5,,,,,,,34.35134152506362,None,34.35144637920894,None,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,trainaudio/18_popata.wav,pngimages/18_donut.png,trainaudio/22_kakoki.wav,pngimages/22_egg.png,0.5,-0.5,0,0,0,0,,,,,0,0,0,0,,,,,,,35.86923454212956,None,35.87014436039317,None,35.87014436039317,None,j,1.2833923806465464,37.87169357368839,None,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,trainaudio/10_tokiti.wav,pngimages/100_bicycle.png,trainaudio/24_takopa.wav,pngimages/24_banana.png,-0.5,0.5,0,0,0,0,,,,,0,1,1,1,,,,,,,39.22269606911868,None,39.22355982255249,None,39.22355982255249,None,j,-0.5937674277083715,41.22450075345114,None,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,trainaudio/01_kitipi.wav,pngimages/01_gift.png,trainaudio/27_pakapa.wav,pngimages/27_kiwi.png,-0.5,0.5,0,0,0,0,,,,,0,2,2,2,,,,,,,41.25787366981967,None,41.26462549099233,None,41.26462549099233,None,j,1.361258189252112,43.25956137968751,None,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainaudio/15_kopota.wav,pngimages/15_barrel.png,,,,,,,0,1,1,1,0,0,0,0,,,,,,,44.69415456110437,None,44.68694299778144,None,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainaudio/16_kotapi.wav,pngimages/16_icecream.png,,,,,,,0,1,1,1,0,1,1,1,,,,,,,46.19466172740795,None,46.19873012084281,46.19873012084281,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainaudio/06_titoka.wav,pngimages/06_tent.png,,,,,,,0,1,1,1,0,2,2,2,,,,,,,47.72900479941745,None,47.726688266790006,47.726688266790006,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainaudio/04_kitoti.wav,pngimages/04_ladder.png,,,,,,,0,1,1,1,0,3,3,3,,,,,,,49.2470174717746,None,49.24579176957195,49.24579176957195,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainaudio/23_patoko.wav,pngimages/23_lemon.png,,,,,,,0,1,1,1,0,4,4,4,,,,,,,50.76497690528049,None,50.76134186111449,50.76134186111449,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainaudio/02_pitito.wav,pngimages/02_pallet.png,,,,,,,0,1,1,1,0,5,5,5,,,,,,,52.2827569879737,None,52.27626705673174,52.27626705673174,,,,,,,,,,,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,,,trainaudio/15_kopota.wav,pngimages/15_barrel.png,trainaudio/04_kitoti.wav,pngimages/04_ladder.png,0.5,-0.5,0,1,1,1,,,,,0,0,0,0,,,,,,,53.85091210262908,None,53.84381151023263,None,53.84381151023263,None,f,-0.1747020228067413,55.83667561406037,None,1,001,2020_Jul_06_2030,sonority,2020.1.3,59.93995686462473,
