condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,instructions.started,instructions.stopped,imagetrain1.started,imagetrain1.stopped,stimuli1train1.started,stimuli1train1.stopped,stimuli2train1.started,stimuli2train1.stopped,stimuli3train1.started,stimuli3train1.stopped,stimuli4train1.started,stimuli4train1.stopped,stimuli5train1.started,stimuli5train1.stopped,listenTrain1.started,listenTrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.started,train1Response.stopped,chooseImageTrain1.started,chooseImageTrain1.stopped,train1F.started,train1F.stopped,train1J.started,train1J.stopped,train1Response.rt,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/03_kikita3.wav,pngimages/03_box.png,,,,,,,0,0,0,0,0,0,0,0,,,,,20.243700064951554,None,23.612394088413566,None,23.588384671625683,None,25.590956751746127,None,27.59259545223322,None,29.59429834156763,None,31.595989903458396,None,21.58962898910977,32.59679056331515,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1110,sonority,2020.1.3,59.89276271875241,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,,,,,,,0,0,0,0,0,1,1,1,,,,,,,34.61526710051112,32.620153373107314,34.6143052135827,None,36.616832361579874,None,38.60154449406546,None,40.603437306382695,None,42.60507940503303,None,32.620153373107314,None,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1110,sonority,2020.1.3,59.89276271875241,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,,,,,,,0,0,0,0,0,2,2,2,,,,,,,45.62490711500868,43.63091291463934,45.62346419019159,None,47.62594678371679,None,49.62758926001843,None,51.612552105938086,None,53.61420100114774,None,43.63091291463934,43.63091291463934,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1110,sonority,2020.1.3,59.89276271875241,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,,,,,,,0,0,0,0,0,3,3,3,,,,,,,56.63363904785365,65.64003488840535,56.63239963890519,None,58.63507404343691,None,60.636741817719304,None,62.638489261525685,None,64.64013060510624,None,54.644799957517534,54.644799957517534,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1110,sonority,2020.1.3,59.89276271875241,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,,,,,,,0,0,0,0,0,4,4,4,,,,,,,67.65925072855316,76.66584442160092,67.65829488288145,None,69.66087715772446,None,71.66248678464908,None,73.66443585653323,None,75.66594240374397,None,65.66922792280093,65.66922792280093,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1110,sonority,2020.1.3,59.89276271875241,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,,,,,,,0,0,0,0,0,5,5,5,,,,,,,78.70174895389937,None,78.70086371598299,None,80.70338746581692,None,82.70503749374765,None,84.68998032787349,None,86.69159259789157,None,76.70729750324972,76.70729750324972,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1110,sonority,2020.1.3,59.89276271875241,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,-0.5,0.5,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,87.74251427252311,None,87.73587130522355,None,87.73587130522355,None,None,88.72658319608308,94.73152384045534,87.73587130522355,None,88.72658319608308,94.73152384045534,88.72658319608308,94.73152384045534,,delete,001,2020_Jul_31_1110,sonority,2020.1.3,59.89276271875241,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/03_kikita3.wav,pngimages/03_box.png,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,0.5,-0.5,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,94.76485931342467,None,94.77003028197214,94.77003028197214,94.77003028197214,94.77003028197214,j,95.7658168580383,None,94.77003028197214,94.77003028197214,95.7658168580383,None,95.7658168580383,None,0.47872898750938475,delete,001,2020_Jul_31_1110,sonority,2020.1.3,59.89276271875241,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,0.5,-0.5,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,96.28299791556782,None,96.28939111321233,None,96.28939111321233,None,j,97.28389995614998,None,96.28939111321233,None,97.28389995614998,None,97.28389995614998,None,1.2955638035200536,delete,001,2020_Jul_31_1110,sonority,2020.1.3,59.89276271875241,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1110,sonority,2020.1.3,59.89276271875241,
