condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,instructions.started,instructions.stopped,train2warning10.started,train2warning10.stopped,train2warning5.started,train2warning5.stopped,train2warning4.started,train2warning4.stopped,train2warning3.started,train2warning3.stopped,train2warning2.started,train2warning2.stopped,train2warning1.started,train2warning1.stopped,skipTrain2Instr.keys,skipTrain2Instr.rt,skipTrain2Instr.started,skipTrain2Instr.stopped,imagetrain2.started,imagetrain2.stopped,stimuli1train2.started,stimuli1train2.stopped,stimuli2train2.started,stimuli2train2.stopped,stimuli3train2.started,stimuli3train2.stopped,stimuli4train2.started,stimuli4train2.stopped,stimuli5train2.started,stimuli5train2.stopped,listenTrain2.started,listenTrain2.stopped,train2QuestText.started,train2QuestText.stopped,train2QuestAdvance.keys,train2QuestAdvance.rt,train2QuestAdvance.started,train2QuestAdvance.stopped,stimulitest2.started,stimulitest2.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,train2Response.keys,train2Response.rt,train2Response.started,train2Response.stopped,chooseImageTrain2.started,chooseImageTrain2.stopped,train2F.started,train2F.stopped,train2J.started,train2J.stopped,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,,,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,-0.5,0.5,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.19860785966739,None,j,5.903056893963367,118.19860785966739,None,124.15366706431378,None,124.1547982962802,None,124.1547982962802,None,j,2.715010723331943,125.155520608183,None,124.1547982962802,None,125.155520608183,None,125.155520608183,None,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,,,trainingaudio/03_kikita3.wav,pngimages/03_box.png,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,-0.5,0.5,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.90774644697086,None,127.91445567947812,None,127.91445567947812,None,f,0.7127897932659835,128.90844346093945,None,127.91445567947812,None,128.90844346093945,None,128.90844346093945,None,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,,,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,trainingaudio/03_kikita3.wav,pngimages/03_box.png,0.5,-0.5,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.67598699608354,None,129.6745378409978,None,129.6745378409978,None,j,0.7112794702406973,130.66001797281206,None,129.6745378409978,None,130.66001797281206,None,130.66001797281206,None,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,,,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,0.5,-0.5,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.41065004300327,None,131.4033329053782,None,131.4033329053782,None,j,2.248942396370694,132.39479844737798,None,131.4033329053782,None,132.39479844737798,None,132.39479844737798,None,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,,,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,-0.5,0.5,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.68007506285795,None,134.68737860769033,None,134.68737860769033,None,j,2.5934757818467915,135.68074149289168,None,134.68737860769033,None,135.68074149289168,None,135.68074149289168,None,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,,,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,-0.5,0.5,,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.3330564407399,None,138.32862439774908,None,138.32862439774908,None,j,0.4601354005280882,139.31730301608332,None,138.32862439774908,None,139.31730301608332,None,139.31730301608332,None,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,,,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,-0.5,0.5,,,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.85107383960857,None,139.85630937456153,None,139.85630937456153,None,f,0.6078982343897223,140.85169193940237,None,139.85630937456153,None,140.85169193940237,None,140.85169193940237,None,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,,,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,-0.5,0.5,,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.5023995255586,None,141.5070970079396,None,141.5070970079396,None,j,0.4710950597655028,142.50333819142543,None,141.5070970079396,None,142.50333819142543,None,142.50333819142543,None,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,,,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,0.5,-0.5,,,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.03700631314425,None,143.03934731381014,None,143.03934731381014,None,j,0.04269116930663586,144.03787927981466,None,143.03934731381014,None,144.03787927981466,None,144.03787927981466,None,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
aoiConditions/train2Block1.xlsx,aoiConditions/train2Block1Test.xlsx,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1122,sonority,2020.1.3,59.962326032872234,
