blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blockwords1.ran,audio,imageLoc,participant,session,date,expName,psychopyVersion,OS,frameRate,train1Response.keys,train1Response.rt,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,blocktest1.ran,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train1blocks.ran,condFiles,testFiles
0,0,0,0,1,trainingaudio/03_kikita3.wav,pngimages/03_box.png,deleteonline,001,2020-07-30_22h45.59.097,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,deleteonline,001,2020-07-30_22h45.59.097,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,deleteonline,001,2020-07-30_22h45.59.097,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,deleteonline,001,2020-07-30_22h45.59.097,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,deleteonline,001,2020-07-30_22h45.59.097,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,deleteonline,001,2020-07-30_22h45.59.097,sonorityaoi,2020.1.3,Win32,60,f,0.66809,0,0,0,0,1,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,-0.5,0.5,,,,,,,
,,,,,,,deleteonline,001,2020-07-30_22h45.59.097,sonorityaoi,2020.1.3,Win32,60,j,1.663375,0,1,1,1,1,trainingaudio/03_kikita3.wav,pngimages/03_box.png,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,0.5,-0.5,,,,,,,
,,,,,,,deleteonline,001,2020-07-30_22h45.59.097,sonorityaoi,2020.1.3,Win32,60,f,0.75087,0,2,2,2,1,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,0.5,-0.5,,,,,,,
,,,,,,,deleteonline,001,2020-07-30_22h45.59.097,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,0,0,0,0,1,aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx
