firstAudio,secondAudio,imageLoc,whichAudio,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,instructions.started,instructions.stopped,notice.started,notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test1Instr.started,test1Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,oneWarningTest1.started,oneWarningTest1.stopped,twoWarningTest1.started,twoWarningTest1.stopped,threeWarningTest1.started,threeWarningTest1.stopped,fourWarningTest1.started,fourWarningTest1.stopped,test2Instr.started,test2Instr.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test2Audio1.started,test2Audio1.stopped,test2Audio1Sound.started,test2Audio1Sound.stopped,test1Audio2Mute.started,test1Audio2Mute.stopped,test2Audio2.started,test2Audio2.stopped,test2Audio2Mute1.started,test2Audio2Mute1.stopped,test2Audio2Sound.started,test2Audio2Sound.stopped,test2Audio2Mute2.started,test2Audio2Mute2.stopped,test2Response.keys,test2Response.rt,test2Response.started,test2Response.stopped,test2Image.started,test2Image.stopped,test2F.started,test2F.stopped,test2J.started,test2J.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,11.45771757804323,None,13.172252279822715,None,h,0.6466022841632366,13.172252279822715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_16_1752,sonority,2020.1.3,59.88533686064882,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.85964573128149,None,h,0.3422436066903174,13.85964573128149,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_16_1752,sonority,2020.1.3,59.88533686064882,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,14.246813502744772,None,h,0.5271112326299772,14.246813502744772,None,,,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_16_1752,sonority,2020.1.3,59.88533686064882,
novelaudio/61_pikati2.wav,novelaudio/61_pikati1.wav,pngimages/61_key.png,1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.850009722751565,15.851653104647994,14.878713175072335,15.88454301992897,15.835157362394966,None,15.834650800272357,16.835789809934795,14.878713175072335,15.88454301992897,15.835157362394966,16.835789809934795,16.835789809934795,None,j,1.1226125105749816,16.835789809934795,None,14.878713175072335,None,14.878713175072335,None,14.878713175072335,None,delete,001,2020_Jul_16_1752,sonority,2020.1.3,59.88533686064882,
novelaudio/41_pototo2.wav,novelaudio/41_pototo1.wav,pngimages/41_piano.png,2,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.036394467577338,19.03783508867491,18.041502529289573,19.054083893192,19.03783508867491,None,19.037384408467915,20.03817491128575,18.041502529289573,19.054083893192,19.03783508867491,20.03817491128575,20.03817491128575,None,j,0.42142943723592907,20.03817491128575,None,18.041502529289573,None,18.041502529289573,None,18.041502529289573,None,delete,001,2020_Jul_16_1752,sonority,2020.1.3,59.88533686064882,
novelaudio/79_katapi1.wav,novelaudio/79_katapi2.wav,pngimages/79_pig.png,1,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.538591420510784,21.53945585351903,20.53288293001242,21.53945585351903,21.52330484241247,None,21.522804321546573,22.523599355248734,20.53288293001242,21.53945585351903,21.52330484241247,22.523599355248734,22.523599355248734,None,j,0.37098919693380594,22.523599355248734,None,20.53288293001242,None,20.53288293001242,None,20.53288293001242,None,delete,001,2020_Jul_16_1752,sonority,2020.1.3,59.88533686064882,
novelaudio/32_kipoto2.wav,novelaudio/32_kipoto1.wav,pngimages/32_greenpepper.png,1,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.957222456636373,23.958012657240033,22.95117618259974,23.958012657240033,23.941737799788825,32.94857012107968,23.94127277150983,24.942162200342864,22.95117618259974,23.958012657240033,23.941737799788825,24.942162200342864,24.942162200342864,32.94857012107968,None,,24.942162200342864,32.94857012107968,22.95117618259974,None,22.95117618259974,None,22.95117618259974,None,delete,001,2020_Jul_16_1752,sonority,2020.1.3,59.88533686064882,
novelaudio/34_kipaki2.wav,novelaudio/34_kipaki1.wav,pngimages/34_knife.png,1,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.99849730468122,34.000201628077775,33.003482803702354,34.016546338098124,34.000201628077775,None,33.9996780747897,35.00053540931549,33.003482803702354,34.016546338098124,34.000201628077775,35.00053540931549,35.00053540931549,None,f,0.6889456853969023,35.00053540931549,None,33.003482803702354,33.003482803702354,33.003482803702354,33.003482803702354,33.003482803702354,33.003482803702354,delete,001,2020_Jul_16_1752,sonority,2020.1.3,59.88533686064882,
novelaudio/59_tipoko2.wav,novelaudio/59_tipoko3.wav,pngimages/59_umbrella.png,1,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.76785837416537,36.768725450267084,35.76327394123655,36.768725450267084,36.75244492897764,None,36.75207203038735,37.75293578382116,35.76327394123655,36.768725450267084,36.75244492897764,37.75293578382116,37.75293578382116,None,j,0.4722869038814679,37.75293578382116,None,35.76327394123655,None,35.76327394123655,None,35.76327394123655,None,delete,001,2020_Jul_16_1752,sonority,2020.1.3,59.88533686064882,
novelaudio/54_kapapa1.wav,novelaudio/54_kapapa3.wav,pngimages/54_toiletpaper.png,1,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.30327449250035,39.304114005179144,38.29597147915047,39.304114005179144,39.28787841601297,None,39.28745152341435,40.28830583731178,38.29597147915047,39.304114005179144,39.28787841601297,40.28830583731178,40.28830583731178,None,j,0.4880361692048609,40.28830583731178,None,38.29597147915047,None,38.29597147915047,None,38.29597147915047,None,delete,001,2020_Jul_16_1752,sonority,2020.1.3,59.88533686064882,
