firstAudio,secondAudio,imageLoc,whichAudio,currentPhase,feedback,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,instructions.started,instructions.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,test1Text.started,test1Text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio1Sound.started,test1Audio1Sound.stopped,test1Audio1Mute.started,test1Audio1Mute.stopped,test1Audio2.started,test1Audio2.stopped,test1Audio2Mute1.started,test1Audio2Mute1.stopped,test1Audio2Sound.started,test1Audio2Sound.stopped,test1Audio2Mute2.started,test1Audio2Mute2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test1F.started,test1F.stopped,test1J.started,test1J.stopped,test1Instr.started,test1Instr.stopped,test1Correct.started,test1Correct.stopped,text_2.started,text_2.stopped,image.started,image.stopped,participant,ID Number,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,27.554398101812694,None,h,3.445826181326993,36.263109802792314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThomasTest1,1234,2020_Dec_01_2006,experiment,2020.1.3,60.364222325373845,
,,,,,,,,,,,,,,,,,,,,36.263109802792314,None,None,None,None,None,39.72978940792382,None,h,8.034939840028528,39.72978940792382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThomasTest1,1234,2020_Dec_01_2006,experiment,2020.1.3,60.364222325373845,
trainingaudio/04_kitoti1.wav,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,2,test1,trainingaudio/04_kitoti2.wav,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,48.868804782244844,None,48.868941995257046,49.86941057333024,49.86941057333024,None,50.87265422110213,None,48.868941995257046,50.86958161753137,50.86958161753137,51.87420849571936,51.87420849571936,None,j,1.178114043083042,51.87420849571936,None,47.93749410030432,None,51.87420849571936,None,51.87420849571936,None,47.93749410030432,None,53.588304351456465,None,53.09195986465784,None,53.58768602472264,54.5888784257113,ThomasTest1,1234,2020_Dec_01_2006,experiment,2020.1.3,60.364222325373845,
trainingaudio/12_pokika1.wav,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,2,test1,trainingaudio/12_pokika3.wav,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,55.75783559967531,None,55.756431526795495,56.76319815678289,56.76319815678289,None,57.759875292505605,None,55.756431526795495,57.76233915990451,57.76233915990451,58.77723359956872,58.76041349652223,None,j,1.6124406158924103,58.76041349652223,None,54.77478800708195,None,58.76041349652223,None,58.76041349652223,None,54.77478800708195,None,60.89516484809574,None,60.40268112748163,None,60.893903500866145,61.89503850945039,ThomasTest1,1234,2020_Dec_01_2006,experiment,2020.1.3,60.364222325373845,
trainingaudio/02_pitito3.wav,trainingaudio/02_pitito1.wav,pngimages/02_pallet.png,1,test1,trainingaudio/02_pitito3.wav,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,62.96417269345839,None,62.96383113367483,63.96564541058615,63.96564541058615,None,64.9651513835648,None,62.96383113367483,64.96564578817924,64.96564578817924,65.96660295611946,65.94953855819767,None,f,0.8404648324358277,65.94953855819767,None,61.96360873844242,None,65.94953855819767,None,65.94953855819767,None,61.96360873844242,None,67.33369125497993,None,66.83888314542128,None,67.33313938253559,68.33588364161551,ThomasTest1,1234,2020_Dec_01_2006,experiment,2020.1.3,60.364222325373845,
trainingaudio/20_tatito2.wav,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,2,test1,trainingaudio/20_tatito1.wav,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,69.41841704429825,None,69.4219883569167,70.43670797656523,70.42119430395542,None,71.42082827686099,None,69.4219883569167,71.43753261357779,71.42077594413422,72.42042101797415,72.42042101797415,None,j,0.5046249902807176,72.42042101797415,None,68.43656223022845,None,72.42042101797415,None,72.42042101797415,None,68.43656223022845,None,73.45498690168606,None,72.95372517686337,None,73.45299720059847,None,ThomasTest1,1234,2020_Dec_01_2006,experiment,2020.1.3,60.364222325373845,
trainingaudio/24_takopa2.wav,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,2,test1,trainingaudio/24_takopa1.wav,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,75.5430625900859,None,75.54197568527889,76.56085813598474,76.54266288276995,None,77.54192229531472,None,75.54197568527889,77.54272027511615,77.54272027511615,78.55218094587326,78.52903711545514,None,j,0.27529887430137023,78.52903711545514,None,74.54282222199254,None,78.52903711545514,None,78.52903711545514,None,74.54282222199254,None,79.32634352772729,None,78.84227004746208,None,79.32736767857568,80.32687569048721,ThomasTest1,1234,2020_Dec_01_2006,experiment,2020.1.3,60.364222325373845,
trainingaudio/09_tipata1.wav,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,2,test1,trainingaudio/09_tipata2.wav,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,81.41051955907605,None,81.41631406889064,82.42899663874414,82.41423888341524,None,83.41367122806841,None,81.41631406889064,83.4308807682246,83.41458172700368,84.41566727252211,84.41566727252211,None,None,,84.41566727252211,None,80.42885089246556,None,84.41566727252211,None,84.41566727252211,None,80.42885089246556,None,100.92549819932319,None,100.44300753879361,None,100.92674587812508,101.9271831169608,ThomasTest1,1234,2020_Dec_01_2006,experiment,2020.1.3,60.364222325373845,
trainingaudio/14_pokoto3.wav,trainingaudio/14_pokoto1.wav,pngimages/14_coffee.png,2,test1,trainingaudio/14_pokoto1.wav,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,103.04705664244247,None,103.04746911197435,104.0676206125645,104.04684761358658,None,105.0489419045858,None,103.04746911197435,105.04875666333828,105.04875666333828,106.04940119420644,106.04940119420644,None,j,0.730880239570979,106.04940119420644,None,102.05509398371214,None,106.04940119420644,None,106.04940119420644,None,102.05509398371214,None,107.29978221121709,None,106.80905537528452,None,107.30149997846456,None,ThomasTest1,1234,2020_Dec_01_2006,experiment,2020.1.3,60.364222325373845,
trainingaudio/15_kopota3.wav,trainingaudio/15_kopota2.wav,pngimages/15_barrel.png,1,test1,trainingaudio/15_kopota3.wav,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,109.4019552656915,None,109.40320445486577,110.40263695054455,110.40263695054455,None,111.4043910410488,None,109.40320445486577,111.40367567597423,111.40367567597423,112.40499720966909,112.40499720966909,None,f,1.0957972208270803,112.40499720966909,None,108.40296695637517,None,112.40499720966909,None,112.40499720966909,None,108.40296695637517,None,114.0222725998843,None,113.53699274815153,None,114.0199744150741,115.02208773622988,ThomasTest1,1234,2020_Dec_01_2006,experiment,2020.1.3,60.364222325373845,
