condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1TestAnswer.keys,train1TestAnswer.rt,train1TestAnswer.started,train1TestAnswer.stopped,notice.started,notice.stopped,stimulitrain2.started,stimulitrain2.stopped,imagetrain2.started,imagetrain2.stopped,stimulitest2.started,stimulitest2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,wavaudio/pakito1.wav,pngimages/17_cracker.png,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,11.569848015962634,None,15.468376430420903,None,15.496973685570993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,wavaudio/pakito1.wav,pngimages/26_pineapple.png,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,15.951433449744945,None,15.953812363208272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,wavaudio/pakito1.wav,pngimages/100_bicycle.png,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,16.467875682062004,None,16.464278540224768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,wavaudio/pakito1.wav,pngimages/21_cheese.png,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,16.984540309786098,None,16.97348737140419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,wavaudio/pakito1.wav,pngimages/01_gift.png,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,17.434329317335504,None,17.43563295470085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,wavaudio/pakito1.wav,pngimages/23_lemon.png,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,17.9342428512522,None,17.93246580241248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,wavaudio/pakito1.wav,pngimages/100_bicycle.png,wavaudio/pakito1.wav,pngimages/23_lemon.png,0,0,0,0,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,18.450569166097555,20.45076150604291,18.451338827901054,None,18.451338827901054,None,f,0.4999494040966965,20.45076150604291,None,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,wavaudio/pakito1.wav,pngimages/26_pineapple.png,wavaudio/pakito1.wav,pngimages/01_gift.png,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,20.98411303878529,22.983353194082156,20.986927756574005,None,20.986927756574005,None,f,0.21605166216613725,22.983353194082156,None,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,wavaudio/pakito1.wav,pngimages/17_cracker.png,wavaudio/pakito1.wav,pngimages/21_cheese.png,0,0,0,0,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,23.233185321418567,25.232837040384766,23.239314070611726,None,23.239314070611726,None,f,-0.27119628340005875,25.232837040384766,None,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block1.xlsx,autoConditions/train1Block1Test.xlsx,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,wavaudio/pakito1.wav,pngimages/25_apple.png,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,25.266158744203857,None,25.25771360908402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,wavaudio/pakito1.wav,pngimages/08_bell.png,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,25.765451836475403,25.76552614447428,25.76552614447428,25.76552614447428,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,wavaudio/pakito1.wav,pngimages/11_compass.png,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,26.265100685838842,26.265469884849153,26.265469884849153,26.265469884849153,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,wavaudio/pakito1.wav,pngimages/03_box.png,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,26.765071234450442,27.265080598474015,26.766988894552924,26.766988894552924,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,wavaudio/pakito1.wav,pngimages/18_donut.png,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,27.28174145038356,None,27.28199926292291,27.28199926292291,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,wavaudio/pakito1.wav,pngimages/19_burger.png,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,27.781487715739058,28.281400418956764,27.784571347001474,27.784571347001474,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,,,wavaudio/pakito1.wav,pngimages/08_bell.png,wavaudio/pakito1.wav,pngimages/18_donut.png,0,1,1,1,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,28.314722122775855,30.31486998364562,28.312399846559856,None,28.312399846559856,None,None,,30.2981053723488,None,,,,,,,,,,,,,,,,,1,001,2020_Jul_03_1653,sonority,2020.1.3,60.05169762079808,
