blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blockwords1.ran,audio,imageLoc,participant,session,date,expName,psychopyVersion,OS,frameRate,train1QuestAdvance.keys,train1QuestAdvance.rt,train1Response.keys,train1Response.rt,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,blocktest1.ran,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train1blocks.ran,condFiles,testFiles,skipTrain2Instr.keys,skipTrain2Instr.rt,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,train2blocks.ran,train2blocks.order,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blockloop2.ran,blockloop2.order
0,0,0,0,1,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,f,0.96575,f,0.101775,0,0,0,0,1,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,7,7,7,1,aoiConditions/train1Block8.xlsx,aoiConditions/train1Block8Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,f,1.13752,j,0.759015,0,0,0,0,1,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,8,8,8,1,aoiConditions/train1Block9.xlsx,aoiConditions/train1Block9Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/03_kikita3.wav,pngimages/03_box.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,f,0.801785,f,0.24341,0,0,0,0,1,trainingaudio/03_kikita3.wav,pngimages/03_box.png,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,9,9,9,1,aoiConditions/train1Block10.xlsx,aoiConditions/train1Block10Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,f,1.4914,j,0.082885,0,0,0,0,1,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,10,10,10,1,aoiConditions/train1Block11.xlsx,aoiConditions/train1Block11Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,f,1.02444,j,1.834385,0,0,0,0,1,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,trainingaudio/14_pokoto1.wav,pngimages/14_coffee.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,11,11,11,1,aoiConditions/train1Block12.xlsx,aoiConditions/train1Block12Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,j,1.58321,f,0.38662,0,0,0,0,1,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,trainingaudio/94_kipipi1.wav,pngimages/94_house.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,12,12,12,1,aoiConditions/train1Block13.xlsx,aoiConditions/train1Block13Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,h,2.431185,j,0.58664,0,0,0,0,1,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,13,13,13,1,aoiConditions/train1Block14.xlsx,aoiConditions/train1Block14Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/03_kikita3.wav,pngimages/03_box.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,g,6.95704,j,1.07194,0,0,0,0,1,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,f,1.519875,0,1,1,1,1,trainingaudio/03_kikita3.wav,pngimages/03_box.png,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,14,14,14,1,aoiConditions/train1Block15.xlsx,aoiConditions/train1Block15Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,h,2.332625,f,1.038935,0,0,0,0,1,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,f,0.16234,0,1,1,1,1,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,15,15,15,1,aoiConditions/train1Block16.xlsx,aoiConditions/train1Block16Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,h,4.22853,j,2.95273,0,0,0,0,1,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,j,0.31368,0,1,1,1,1,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,16,16,16,1,aoiConditions/train1Block17.xlsx,aoiConditions/train1Block17Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,j,2.791395,j,1.10067,0,0,0,0,1,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,f,2.257515,0,1,1,1,1,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,trainingaudio/94_kipipi1.wav,pngimages/94_house.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,17,17,17,1,aoiConditions/train1Block18.xlsx,aoiConditions/train1Block18Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/14_pokoto1.wav,pngimages/14_coffee.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/18_popata2.wav,pngimages/18_donut.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,7,5.326015,j,1.30927,0,0,0,0,1,trainingaudio/14_pokoto1.wav,pngimages/14_coffee.png,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,f,0.010265,0,1,1,1,1,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,trainingaudio/18_popata2.wav,pngimages/18_donut.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,18,18,18,1,aoiConditions/train1Block19.xlsx,aoiConditions/train1Block19Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,s,4.508465,j,1.914225,0,0,0,0,1,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,f,1.27578,0,1,1,1,1,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,0,19,19,19,1,aoiConditions/train1Block20.xlsx,aoiConditions/train1Block20Test.xlsx,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/27_pakapa1.wav,pngimages/27_kiwi.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,f,2.006385,0,0,0,0,1,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,j,0.78747,0,1,1,1,1,trainingaudio/27_pakapa1.wav,pngimages/27_kiwi.png,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,
,,,,,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,,001,2020-08-07_17h26.17.563,condition1,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,aoiConditions/train2Block21.xlsx,aoiConditions/train2Block21Test.xlsx,j,0.59916,1,0,21,20,1,20,1,0,2,1,1,1
