condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,instructions.started,instructions.stopped,imagetrain1.started,imagetrain1.stopped,stimuli1train1.started,stimuli1train1.stopped,stimuli2train1.started,stimuli2train1.stopped,stimuli3train1.started,stimuli3train1.stopped,stimuli4train1.started,stimuli4train1.stopped,stimuli5train1.started,stimuli5train1.stopped,listenTrain1.started,listenTrain1.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.started,train1QuestAdvance.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,chooseImageTrain1.started,chooseImageTrain1.stopped,train1F.started,train1F.stopped,train1J.started,train1J.stopped,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/03_kikita3.wav,pngimages/03_box.png,,,,,,,0,0,0,0,0,0,0,0,,,,,15.847435471601784,None,21.251011161366478,None,21.22425367401447,None,23.226852562255225,None,25.228459168435073,None,27.23009937929455,None,29.23162669360172,None,19.238164353417233,30.249269381398335,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1118,sonority,2020.1.3,59.978213931405726,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,,,,,,,0,0,0,0,0,1,1,1,,,,,,,32.26761225494556,30.269036111887544,32.266754542454144,None,34.269146894081494,None,36.271004213928244,None,38.27259307375643,None,40.274284257995895,None,30.269036111887544,None,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1118,sonority,2020.1.3,59.978213931405726,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,,,,,,,0,0,0,0,0,2,2,2,,,,,,,43.27688639354892,41.2779836433474,43.27599281093571,None,45.27838969368022,None,47.28009560352657,None,49.281748652202076,None,51.2833847095957,None,41.2779836433474,41.2779836433474,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1118,sonority,2020.1.3,59.978213931405726,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,,,,,,,0,0,0,0,0,3,3,3,,,,,,,54.28604159434326,52.29183179535903,54.2850083068246,None,56.287454652576706,None,58.27253756925929,None,60.274189107562414,None,62.27577343650628,None,52.29183179535903,52.29183179535903,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1118,sonority,2020.1.3,59.978213931405726,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,,,,,,,0,0,0,0,0,4,4,4,,,,,,,65.29513675975613,74.30163530237041,65.29411819784437,None,67.296592862322,None,69.29846604049672,None,71.30002922492568,None,73.30163545345422,None,63.30655404692516,63.30655404692516,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1118,sonority,2020.1.3,59.978213931405726,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,,,,,,,0,0,0,0,0,5,5,5,,,,,,,76.33772824774496,85.34417430637404,76.33679124314804,None,78.33916471593548,None,80.34073129852769,None,82.34239529699553,None,84.34418087636587,None,74.34688231558539,74.34688231558539,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1118,sonority,2020.1.3,59.978213931405726,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,-0.5,0.5,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,85.36142295086756,None,None,85.36142295086756,None,95.38643080457115,None,95.38413896481507,None,95.38413896481507,None,f,4.466257872525603,96.37078015739098,None,95.38413896481507,None,96.37078015739098,None,96.37078015739098,None,delete,001,2020_Jul_31_1118,sonority,2020.1.3,59.978213931405726,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/03_kikita3.wav,pngimages/03_box.png,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,0.5,-0.5,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,100.92451480880845,None,100.92423841962591,None,100.92423841962591,None,j,0.949687740765512,101.92548821191303,None,100.92423841962591,None,101.92548821191303,None,101.92548821191303,None,delete,001,2020_Jul_31_1118,sonority,2020.1.3,59.978213931405726,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,0.5,-0.5,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,102.92623967321124,None,102.92604514374398,None,102.92604514374398,None,f,0.9029836431145668,103.92709708353505,None,102.92604514374398,None,103.92709708353505,None,103.92709708353505,None,delete,001,2020_Jul_31_1118,sonority,2020.1.3,59.978213931405726,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1118,sonority,2020.1.3,59.978213931405726,
