condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,instructions.started,instructions.stopped,imagetrain1.started,imagetrain1.stopped,stimuli1train1.started,stimuli1train1.stopped,stimuli2train1.started,stimuli2train1.stopped,stimuli3train1.started,stimuli3train1.stopped,stimuli4train1.started,stimuli4train1.stopped,stimuli5train1.started,stimuli5train1.stopped,listenTrain1.started,listenTrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,chooseImageTrain1.started,chooseImageTrain1.stopped,train1F.started,train1F.stopped,train1J.started,train1J.stopped,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/03_kikita3.wav,pngimages/03_box.png,,,,,,,0,0,0,0,0,0,0,0,,,,,23.461321759270504,None,26.523245382122695,None,26.50175835585687,None,28.504335344512945,None,30.506049561291,None,32.50765654488932,None,34.4926477095345,None,24.511467882897705,None,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1103,sonority,2020.1.3,59.9118663371289,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,,,,,,,0,0,0,0,0,1,1,1,,,,,,,37.54544033459388,35.543257917743176,37.54429622713942,None,39.546757298731244,None,41.53188892335165,None,43.53343285105657,None,45.535050407028756,None,35.543257917743176,35.543257917743176,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1103,sonority,2020.1.3,59.9118663371289,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,,,,,,,0,0,0,0,0,2,2,2,,,,,,,48.57125892979093,46.56768172956072,48.570026090811005,None,50.55601520135533,None,52.55757045650389,None,54.55923181187827,None,56.56091657720972,None,46.56768172956072,46.56768172956072,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1103,sonority,2020.1.3,59.9118663371289,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,,,,,,,0,0,0,0,0,3,3,3,,,,,,,59.58023968827911,68.58675295650028,59.57927266622428,None,61.58174884084146,None,63.58342076835688,None,65.58504965177272,None,67.5866407772759,None,57.58963087713346,57.58963087713346,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1103,sonority,2020.1.3,59.9118663371289,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,,,,,,,0,0,0,0,0,4,4,4,,,,,,,70.60603147512302,None,70.60513392786962,None,72.59073148712051,None,74.59260617566761,None,76.59419767858927,None,78.59588244392071,None,68.61099326401018,68.61099326401018,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1103,sonority,2020.1.3,59.9118663371289,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,,,,,,,0,0,0,0,0,5,5,5,,,,,,,81.61507604480721,90.62176073458977,81.61424117602874,None,83.61665618254338,None,85.61825146127958,None,87.62001438576263,None,89.62188190033194,None,79.63596909865737,79.63596909865737,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1103,sonority,2020.1.3,59.9118663371289,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,-0.5,0.5,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,90.65511614382268,None,90.66748198936693,None,90.66748198936693,None,f,5.830921976827085,91.6567737988662,None,90.66748198936693,None,91.6567737988662,None,91.6567737988662,None,delete,001,2020_Jul_31_1103,sonority,2020.1.3,59.9118663371289,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/03_kikita3.wav,pngimages/03_box.png,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,0.5,-0.5,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,97.5450139326742,None,97.54303929861635,None,97.54303929861635,None,j,1.225206536706537,98.52951964177191,None,97.54303929861635,None,98.52951964177191,None,98.52951964177191,None,delete,001,2020_Jul_31_1103,sonority,2020.1.3,59.9118663371289,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,0.5,-0.5,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,99.83026747815312,None,99.82298032054678,None,99.82298032054678,None,f,0.3603702555410564,100.81437374441884,None,99.82298032054678,None,100.81437374441884,None,100.81437374441884,None,delete,001,2020_Jul_31_1103,sonority,2020.1.3,59.9118663371289,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delete,001,2020_Jul_31_1103,sonority,2020.1.3,59.9118663371289,
