condFile,numWords,condFiles,testFiles,firstAudio,secondAudio,imageLoc,whichAudio,currentPhase,feedback,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.rt,skipTrain1Type.started,skipTrain1Type.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.started,train1QuestAdvance.stopped,train1QuestAdvance.rt,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,test1Text.started,test1Text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio1Sound.started,test1Audio1Sound.stopped,test1Audio1Mute.started,test1Audio1Mute.stopped,test1Audio2.started,test1Audio2.stopped,test1Audio2Mute1.started,test1Audio2Mute1.stopped,test1Audio2Sound.started,test1Audio2Sound.stopped,test1Audio2Mute2.started,test1Audio2Mute2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test1F.started,test1F.stopped,test1J.started,test1J.stopped,test1Instr.started,test1Instr.stopped,test1Correct.started,test1Correct.stopped,text_2.started,text_2.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,24.82283117622137,None,43.54764465102926,None,h,7.794776547700167,43.54764465102926,None,51.39593647560105,None,None,51.39593647560105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block2.xlsx,aoiConditions/train1P1Block2Test.xlsx,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,66.43016492715105,66.43016492715105,h,66.43016492715105,66.43016492715105,5.150166890583932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block3.xlsx,aoiConditions/train1P1Block3Test.xlsx,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,71.66071423189715,None,h,71.66071423189715,None,0.6485583963803947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block4.xlsx,aoiConditions/train1P1Block4Test.xlsx,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,72.35690859518945,None,h,72.35690859518945,None,0.16636548331007361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block5.xlsx,aoiConditions/train1P1Block5Test.xlsx,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,72.57880865689367,None,h,72.57880865689367,None,0.14262886811047792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block6.xlsx,aoiConditions/train1P1Block6Test.xlsx,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,72.76212449604645,None,h,72.76212449604645,None,0.15290133049711585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block7.xlsx,aoiConditions/train1P1Block7Test.xlsx,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,72.9612930631265,None,h,72.9612930631265,None,0.14423396438360214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block8.xlsx,aoiConditions/train1P1Block8Test.xlsx,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,73.14629480009899,None,h,73.14629480009899,None,0.15014197025448084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block9.xlsx,aoiConditions/train1P1Block9Test.xlsx,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,73.3452360634692,None,h,73.3452360634692,None,0.13512747129425406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block10.xlsx,aoiConditions/train1P1Block10Test.xlsx,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,73.53026876179501,None,h,73.53026876179501,None,0.1289226864464581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testInstrFeedback,001,2020_Aug_25_1907,condition1,2020.1.3,60.01327858742975,
