condFile,numWords,condFiles,testFiles,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,alltrian1.thisRepN,alltrian1.thisTrialN,alltrian1.thisN,alltrian1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,alltrain2.thisRepN,alltrain2.thisTrialN,alltrain2.thisN,alltrain2.thisIndex,trial2phases.thisRepN,trial2phases.thisTrialN,trial2phases.thisN,trial2phases.thisIndex,train2Words.thisRepN,train2Words.thisTrialN,train2Words.thisN,train2Words.thisIndex,train2Questions.thisRepN,train2Questions.thisTrialN,train2Questions.thisN,train2Questions.thisIndex,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.rt,skipTrain1Type.started,skipTrain1Type.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.rt,train1QuestAdvance.started,train1QuestAdvance.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,chooseImageTrain1.started,chooseImageTrain1.stopped,train1F.started,train1F.stopped,train1J.started,train1J.stopped,train2warning3.started,train2warning3.stopped,train2warning2.started,train2warning2.stopped,train2warning1.started,train2warning1.stopped,skipTrain2Instr.keys,skipTrain2Instr.rt,skipTrain2Instr.started,skipTrain2Instr.stopped,train2Type.started,train2Type.stopped,skipTrain2Type.keys,skipTrain2Type.rt,skipTrain2Type.started,skipTrain2Type.stopped,train2QuestText.started,train2QuestText.stopped,train2QuestAdvance.keys,train2QuestAdvance.rt,train2QuestAdvance.started,train2QuestAdvance.stopped,participant,session,date,expName,psychopyVersion,frameRate
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block6.xlsx,aoiConditions/train1P1Block6Test.xlsx,trainingaudio/14_pokoto1.wav,pngimages/14_coffee.png,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,-0.5,0.5,0,0,0,0,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,36.38106395,None,j,0.240000151,36.38106395,None,37.15525913,None,37.15615683,None,37.15615683,None,f,0.184355319,38.15645059,None,37.15615683,None,38.15645059,None,38.15645059,None,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block6.xlsx,aoiConditions/train1P1Block6Test.xlsx,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block7.xlsx,aoiConditions/train1P1Block7Test.xlsx,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,0.5,-0.5,0,0,0,0,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,38.36684992,None,f,0.227974959,38.36684992,None,39.19414127,None,39.19582849,None,39.19582849,None,None,,40.19197226,None,39.19582849,None,40.19197226,None,40.19197226,None,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block7.xlsx,aoiConditions/train1P1Block7Test.xlsx,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block8.xlsx,aoiConditions/train1P1Block8Test.xlsx,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,0.5,-0.5,0,0,0,0,0,7,7,7,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,46.20589706,None,j,0.858769691,46.20589706,None,47.5981002,None,47.59767033,None,47.59767033,None,None,,48.5985701,None,47.59767033,None,48.5985701,None,48.5985701,None,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block8.xlsx,aoiConditions/train1P1Block8Test.xlsx,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block9.xlsx,aoiConditions/train1P1Block9Test.xlsx,trainingaudio/94_kipipi1.wav,pngimages/94_house.png,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,0.5,-0.5,0,0,0,0,0,8,8,8,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,54.62849715,None,j,2.04892616,54.62849715,None,57.23868145,None,57.23897464,None,57.23897464,None,j,2.95479301,58.23945304,None,57.23897464,None,58.23945304,None,58.23945304,None,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block9.xlsx,aoiConditions/train1P1Block9Test.xlsx,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block10.xlsx,aoiConditions/train1P1Block10Test.xlsx,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,0.5,-0.5,0,0,0,0,0,9,9,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,61.23453354,None,j,0.430124904,61.23453354,None,62.226381,None,62.2268173,None,62.2268173,None,j,0.755082237,63.2293637,None,62.2268173,None,63.2293637,None,63.2293637,None,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block10.xlsx,aoiConditions/train1P1Block10Test.xlsx,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emptytest,1,2020_Aug_11_1958,sonority,2020.1.3,59.47180383
