condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,firstAudio,secondAudio,whichAudio,instructions.started,instructions.stopped,notice.started,notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulitrain2.started,stimulitrain2.stopped,imagetrain2.started,imagetrain2.stopped,stimulitest2.started,stimulitest2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,key_resp.rt,test1Instr.started,test1Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,oneWarningTest1.started,oneWarningTest1.stopped,twoWarningTest1.started,twoWarningTest1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train2Block1.xlsx,autoConditions/train2Block1Test.xlsx,,,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,trainingaudio/03_kikita3.wav,pngimages/03_box.png,0.5,-0.5,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,40.86886402225355,41.861133776488714,j,41.861133776488714,None,40.88460078975186,None,40.88460078975186,None,1.033928261953406,,,,,,,,,,,1,001,2020_Jul_12_1533,sonority,2020.1.3,59.934259807664624,
autoConditions/train2Block1.xlsx,autoConditions/train2Block1Test.xlsx,,,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,trainingaudio/16_kotapi2.wav,pngimages/16_icecream.png,0.5,-0.5,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,42.93550484988373,43.94817403901834,j,43.92657604988199,None,42.94724103726912,None,42.94724103726912,None,0.4425320406444371,,,,,,,,,,,1,001,2020_Jul_12_1533,sonority,2020.1.3,59.934259807664624,
autoConditions/train2Block1.xlsx,autoConditions/train2Block1Test.xlsx,,,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,-0.5,0.5,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,44.45080249104649,45.461730882525444,j,45.461730882525444,None,44.45882313407492,None,44.45882313407492,None,0.280614897608757,,,,,,,,,,,1,001,2020_Jul_12_1533,sonority,2020.1.3,59.934259807664624,
autoConditions/train2Block1.xlsx,autoConditions/train2Block1Test.xlsx,,,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,-0.5,0.5,,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,45.79754244099604,46.796010936261155,j,46.796010936261155,None,45.80239129369147,None,45.80239129369147,None,0.2554510369664058,,,,,,,,,,,1,001,2020_Jul_12_1533,sonority,2020.1.3,59.934259807664624,
autoConditions/train2Block1.xlsx,autoConditions/train2Block1Test.xlsx,,,trainingaudio/16_kotapi2.wav,pngimages/16_icecream.png,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,-0.5,0.5,,,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,47.16340375342406,48.16491324524395,j,48.16491324524395,None,47.16644169157371,None,47.16644169157371,None,0.16762880492024124,,,,,,,,,,,1,001,2020_Jul_12_1533,sonority,2020.1.3,59.934259807664624,
autoConditions/train2Block1.xlsx,autoConditions/train2Block1Test.xlsx,,,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,-0.5,0.5,,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,48.382673089567106,49.38445749785751,j,49.38445749785751,None,48.39061999123078,None,48.39061999123078,None,0.24382684007287025,,,,,,,,,,,1,001,2020_Jul_12_1533,sonority,2020.1.3,59.934259807664624,
autoConditions/train2Block1.xlsx,autoConditions/train2Block1Test.xlsx,,,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,0.5,-0.5,,,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,49.69899642851669,50.70144058344886,j,50.68916505982634,None,49.695008119917475,None,49.695008119917475,None,0.22496895352378488,,,,,,,,,,,1,001,2020_Jul_12_1533,sonority,2020.1.3,59.934259807664624,
autoConditions/train2Block1.xlsx,autoConditions/train2Block1Test.xlsx,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_12_1533,sonority,2020.1.3,59.934259807664624,
autoConditions/train2Block2.xlsx,autoConditions/train2Block2Test.xlsx,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,50.955521531403065,None,50.954856460914016,None,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_12_1533,sonority,2020.1.3,59.934259807664624,
autoConditions/train2Block2.xlsx,autoConditions/train2Block2Test.xlsx,trainingaudio/27_pakapa1.wav,pngimages/27_kiwi.png,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,51.97183463786496,51.98477821482811,51.98477821482811,51.98477821482811,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_12_1533,sonority,2020.1.3,59.934259807664624,
