firstAudio,secondAudio,imageLoc,whichAudio,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,instructions.started,instructions.stopped,train2warning10.started,train2warning10.stopped,train2warning5.started,train2warning5.stopped,train2warning4.started,train2warning4.stopped,train2warning3.started,train2warning3.stopped,train2warning2.started,train2warning2.stopped,train2warning1.started,train2warning1.stopped,skipTrain2Instr.keys,skipTrain2Instr.rt,skipTrain2Instr.started,skipTrain2Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning10.started,test1warning10.stopped,test1warning5.started,test1warning5.stopped,test1warning4.started,test1warning4.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio1Sound.started,test1Audio1Sound.stopped,test1Audio1Mute.started,test1Audio1Mute.stopped,test1Audio2.started,test1Audio2.stopped,test1Audio2Mute1.started,test1Audio2Mute1.stopped,test1Audio2Sound.started,test1Audio2Sound.stopped,test1Audio2Mute2.started,test1Audio2Mute2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test1F.started,test1F.stopped,test1J.started,test1J.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,18.31765794218518,None,20.95818217517808,None,None,None,None,None,None,None,None,None,None,None,space,21.46309148031287,20.95818217517808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,1.626437072409317,42.449575976934284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
trainingaudio/20_tatito3.wav,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,42.449575976934284,None,None,None,None,None,None,None,None,None,None,None,44.17277793714311,None,44.21075047948398,45.22517519746907,45.17524089664221,None,45.175438446807675,None,44.21075047948398,45.22517519746907,45.17524089664221,46.176655314164236,46.176655314164236,None,j,3.1361635529901832,46.176655314164236,None,44.21075047948398,None,44.21075047948398,None,44.21075047948398,None,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
trainingaudio/14_pokoto1.wav,trainingaudio/14_pokoto2.wav,pngimages/14_coffee.png,1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.37761014024727,None,49.38293788046576,50.39605277078226,50.3796857772395,None,50.37889708660077,None,49.38293788046576,50.39605277078226,50.3796857772395,51.381608796073124,51.381608796073124,None,f,2.975345108890906,51.381608796073124,None,49.38293788046576,None,49.38293788046576,None,49.38293788046576,None,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
trainingaudio/24_takopa3.wav,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,2,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.484166301670484,None,54.48784416494891,55.50049425335601,55.483633384341374,None,55.48347034479957,None,54.48784416494891,55.50049425335601,55.483633384341374,56.48439874034375,56.48439874034375,None,f,0.3607523674145341,56.48439874034375,None,54.48784416494891,None,54.48784416494891,None,54.48784416494891,None,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
trainingaudio/26_kapako1.wav,trainingaudio/26_kapako2.wav,pngimages/26_pineapple.png,1,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.93331093026791,None,56.9267802934628,57.935885653598234,57.90197134925984,None,57.9021764510544,None,56.9267802934628,57.935885653598234,57.90197134925984,58.9034771414008,58.9034771414008,None,f,0.08728761062957346,58.9034771414008,None,56.9267802934628,None,56.9267802934628,None,56.9267802934628,None,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
trainingaudio/19_papipi2.wav,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,2,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.05256135680247,None,59.0543825798668,60.05878252862021,60.03900937922299,None,60.0382599568693,None,59.0543825798668,60.05878252862021,60.03900937922299,61.0380340879783,61.0380340879783,None,j,0.3101720258127898,61.0380340879783,None,59.0543825798668,None,59.0543825798668,None,59.0543825798668,None,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
trainingaudio/15_kopota3.wav,trainingaudio/15_kopota1.wav,pngimages/15_barrel.png,1,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.45441626012325,None,61.458770068362355,62.47252042707987,62.45581814204343,None,62.4559224297991,None,61.458770068362355,62.47252042707987,62.45581814204343,63.45658500865102,63.45658500865102,None,j,0.5882613915018737,63.45658500865102,None,61.458770068362355,None,61.458770068362355,None,61.458770068362355,None,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
trainingaudio/04_kitoti2.wav,trainingaudio/04_kitoti1.wav,pngimages/04_ladder.png,1,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.10705796617549,None,64.10722312005237,65.10846347291954,65.09126127092168,None,65.09128588915337,None,64.10722312005237,65.10846347291954,65.09126127092168,66.09220333490521,66.09220333490521,None,j,0.3099794597364962,66.09220333490521,None,64.10722312005237,None,64.10722312005237,None,64.10722312005237,None,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
trainingaudio/16_kokapi2.wav,trainingaudio/16_kokapi1.wav,pngimages/16_icecream.png,1,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.47556025441736,None,66.47827287018299,67.49358867877163,67.47704044659622,None,67.47647566127125,None,66.47827287018299,67.49358867877163,67.47704044659622,68.4799387564417,68.4799387564417,None,j,0.2373808731790632,68.4799387564417,None,66.47827287018299,None,66.47827287018299,None,66.47827287018299,None,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
trainingaudio/25_tapapi1.wav,trainingaudio/25_tapapi2.wav,pngimages/25_apple.png,1,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.79906624287833,None,68.79578355560079,69.81185112753883,69.77829552488402,None,69.7782072465634,None,68.79578355560079,69.81185112753883,69.77829552488402,70.78058441961184,70.78058441961184,None,j,0.2613851928617805,70.78058441961184,None,68.79578355560079,None,68.79578355560079,None,68.79578355560079,None,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
trainingaudio/06_titoka2.wav,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,2,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1173905392643,None,71.12478477903642,72.13057007151656,72.11383380414918,None,72.11395470553543,None,71.12478477903642,72.13057007151656,72.11383380414918,73.11491179722361,73.11491179722361,None,j,0.12219268688932061,73.11491179722361,None,71.12478477903642,None,71.12478477903642,None,71.12478477903642,None,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
trainingaudio/18_popata2.wav,trainingaudio/18_popata1.wav,pngimages/18_donut.png,1,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.29776079498697,None,73.29942494444549,74.29928712756373,74.28234696667641,None,74.2823500627419,None,73.29942494444549,74.29928712756373,74.28234696667641,75.2852588694077,75.2852588694077,None,j,0.13487260416150093,75.2852588694077,None,73.29942494444549,None,73.29942494444549,None,73.29942494444549,None,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
trainingaudio/12_pokika1.wav,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,2,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.51580855145585,None,75.50943914148957,76.51796113932505,76.48432662244886,None,76.4842345683137,None,75.50943914148957,76.51796113932505,76.48432662244886,77.4856560844928,77.4856560844928,None,j,0.3499237287323922,77.4856560844928,None,75.50943914148957,None,75.50943914148957,None,75.50943914148957,None,tester,001,2020_Aug_06_2138,sonority,2020.1.3,59.96870737812968,
