condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,firstAudio,secondAudio,whichAudio,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,test3Loop.thisRepN,test3Loop.thisTrialN,test3Loop.thisN,test3Loop.thisIndex,postTestLoop.thisRepN,postTestLoop.thisTrialN,postTestLoop.thisN,postTestLoop.thisIndex,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,notice.started,notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulitrain2.started,stimulitrain2.stopped,imagetrain2.started,imagetrain2.stopped,stimulitest2.started,stimulitest2.stopped,train2Response.keys,train2Response.rt,train2Response.started,train2Response.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,test1Instr.started,test1Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,oneWarningTest1.started,oneWarningTest1.stopped,twoWarningTest1.started,twoWarningTest1.stopped,threeWarningTest1.started,threeWarningTest1.stopped,fourWarningTest1.started,fourWarningTest1.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio1Sound.started,test1Audio1Sound.stopped,test1Audio1Mute.started,test1Audio1Mute.stopped,test1Audio2.started,test1Audio2.stopped,test1Audio2Mute1.started,test1Audio2Mute1.stopped,test1Audio2Sound.started,test1Audio2Sound.stopped,test1Audio2Mute2.started,test1Audio2Mute2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test1F.started,test1F.stopped,test1J.started,test1J.stopped,test2Instr.started,test2Instr.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test3Instr.started,test3Instr.stopped,skipTest3Instr.keys,skipTest3Instr.rt,skipTest3Instr.started,skipTest3Instr.stopped,postTestText.started,postTestText.stopped,text.started,text.stopped,quit.keys,quit.rt,quit.started,quit.stopped,participant,session,date,expName,psychopyVersion,frameRate
aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.14646569,None,25.15023599,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.17982578,None,26.18376138,26.18376138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.23071249,None,27.22458995,27.22458995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.26491905,None,28.26364954,28.26364954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,trainingaudio/18_popata2.wav,pngimages/18_donut.png,,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.28243449,None,29.28265318,29.28265318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.30004033,None,30.29994525,30.29994525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,,,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,0.5,-0.5,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.35080863,None,31.34373782,None,31.34373782,None,f,0.200346242,32.33546314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,,,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,-0.5,0.5,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5859503,None,32.58161635,None,32.58161635,None,j,1.333528794,33.56988944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,,,trainingaudio/18_popata2.wav,pngimages/18_donut.png,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,-0.5,0.5,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.95467188,None,34.95526952,None,34.95526952,None,f,0.657887662,35.93875225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jul_20_2230,sonority,2020.1.3,60.01110294
