condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1TestAnswer.keys,train1TestAnswer.started,train1TestAnswer.stopped,train1TestAnswer.rt,notice.started,notice.stopped,stimulitrain2.started,stimulitrain2.stopped,imagetrain2.started,imagetrain2.stopped,stimulitest2.started,stimulitest2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block6.xlsx,autoConditions/train1Block6Test.xlsx,trainaudio/20_tatito.wav,pngimages/20_pizza.png,,,,,,,0,5,5,5,0,2,2,2,,,,,,,,,,,,,,,,,,,106.69194850857895,None,106.68978806777159,106.68978806777159,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block6.xlsx,autoConditions/train1Block6Test.xlsx,trainaudio/27_pakapa.wav,pngimages/27_kiwi.png,,,,,,,0,5,5,5,0,3,3,3,,,,,,,,,,,,,,,,,,,108.22691979923111,None,108.22172478072753,108.22172478072753,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block6.xlsx,autoConditions/train1Block6Test.xlsx,trainaudio/15_kopota.wav,pngimages/15_barrel.png,,,,,,,0,5,5,5,0,4,4,4,,,,,,,,,,,,,,,,,,,109.76122809607769,None,109.75308681598108,109.75308681598108,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block6.xlsx,autoConditions/train1Block6Test.xlsx,trainaudio/23_patoko.wav,pngimages/23_lemon.png,,,,,,,0,5,5,5,0,5,5,5,,,,,,,,,,,,,,,,,,,111.2625072259456,None,111.26707485648512,111.26707485648512,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block6.xlsx,autoConditions/train1Block6Test.xlsx,,,trainaudio/12_pokika.wav,pngimages/12_pie.png,trainaudio/27_pakapa.wav,pngimages/27_kiwi.png,-0.5,0.5,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,112.81357058737485,None,112.81741824718483,None,112.81741824718483,None,j,114.8162583195226,None,-0.4269039786013309,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block6.xlsx,autoConditions/train1Block6Test.xlsx,,,trainaudio/20_tatito.wav,pngimages/20_pizza.png,trainaudio/23_patoko.wav,pngimages/23_lemon.png,0.5,-0.5,0,5,5,5,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,114.84967790485535,None,114.85549158920185,None,114.85549158920185,None,j,116.85111618496012,None,-0.5647205280401977,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block6.xlsx,autoConditions/train1Block6Test.xlsx,,,trainaudio/15_kopota.wav,pngimages/15_barrel.png,trainaudio/08_tipako.wav,pngimages/08_bell.png,-0.5,0.5,0,5,5,5,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,116.90124556295923,None,116.90480663908238,None,116.90480663908238,None,j,118.90307543192466,None,-0.41349722346058115,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block6.xlsx,autoConditions/train1Block6Test.xlsx,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block7.xlsx,autoConditions/train1Block7Test.xlsx,trainaudio/16_kotapi.wav,pngimages/16_icecream.png,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,118.93649501725741,None,118.92744977139228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
autoConditions/train1Block7.xlsx,autoConditions/train1Block7Test.xlsx,trainaudio/03_kikita.wav,pngimages/03_box.png,,,,,,,0,6,6,6,0,1,1,1,,,,,,,,,,,,,,,,,,,120.4366632671794,None,120.43971528910333,120.43971528910333,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_06_2051,sonority,2020.1.3,60.02649519618351,
