firstAudio,secondAudio,imageLoc,whichAudio,currentPhase,feedback,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,instructions.started,instructions.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,test1Text.started,test1Text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio1Sound.started,test1Audio1Sound.stopped,test1Audio1Mute.started,test1Audio1Mute.stopped,test1Audio2.started,test1Audio2.stopped,test1Audio2Mute1.started,test1Audio2Mute1.stopped,test1Audio2Sound.started,test1Audio2Sound.stopped,test1Audio2Mute2.started,test1Audio2Mute2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test1F.started,test1F.stopped,test1J.started,test1J.stopped,test1Instr.started,test1Instr.stopped,test1Correct.started,test1Correct.stopped,text_2.started,text_2.stopped,image.started,image.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test2warning3.started,test2warning3.stopped,test2warning2.started,test2warning2.stopped,test2warning1.started,test2warning1.stopped,test2Text.started,test2Text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,test2Audio1.started,test2Audio1.stopped,test2Audio1Sound.started,test2Audio1Sound.stopped,test1Audio2Mute.started,test1Audio2Mute.stopped,test2Audio2.started,test2Audio2.stopped,test2Audio2Mute1.started,test2Audio2Mute1.stopped,test2Audio2Sound.started,test2Audio2Sound.stopped,test2Audio2Mute2.started,test2Audio2Mute2.stopped,test2Response.keys,test2Response.rt,test2Response.started,test2Response.stopped,test2Image.started,test2Image.stopped,test2F.started,test2F.stopped,test2J.started,test2J.stopped,test2Instr.started,test2Instr.stopped,participant,session,date,expName,psychopyVersion,frameRate,
trainingaudio/19_papipi3.wav,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,2,test1,trainingaudio/19_papipi1.wav,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,92.70953923817724,None,92.71005119988695,93.71078672725707,93.71078672725707,None,94.71172467553988,None,92.71005119988695,94.71167215425521,94.71167215425521,95.71269426541403,95.71269426541403,None,j,0.12401526933535933,95.71269426541403,None,92.2107580313459,None,95.71269426541403,None,95.71269426541403,None,92.2107580313459,None,96.3619213949889,None,95.86190965259448,None,96.36225966969505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_26_1739,condition1,2020.1.3,59.91715254313671,
trainingaudio/09_tipata2.wav,trainingaudio/09_tipata3.wav,pngimages/09_plane.png,1,test1,trainingaudio/09_tipata2.wav,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,97.89713986339048,None,97.89760047430173,98.89844587771222,98.89844587771222,None,99.89913462270052,None,97.89760047430173,99.8992901481688,99.8992901481688,100.90022843657061,100.90022843657061,None,f,1.0547224027104676,100.90022843657061,None,97.40779251186177,None,100.90022843657061,None,100.90022843657061,None,97.40779251186177,None,102.48372592898086,None,101.98403324233368,None,102.48413028055802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_26_1739,condition1,2020.1.3,59.91715254313671,
trainingaudio/94_kipipi1.wav,trainingaudio/94_kipipi2.wav,pngimages/94_house.png,1,test1,trainingaudio/94_kipipi1.wav,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,104.03555342024192,None,104.03613825514913,105.03681374713778,105.03681374713778,None,106.0375149522908,None,104.03613825514913,106.03756324481219,106.03756324481219,107.0386495445855,107.0386495445855,None,f,2.770478847902268,107.0386495445855,None,103.53960331343114,None,107.0386495445855,None,107.0386495445855,None,103.53960331343114,None,110.34033774612472,None,109.84016817435622,None,110.34066280536354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_26_1739,condition1,2020.1.3,59.91715254313671,
trainingaudio/01_kitipi1.wav,trainingaudio/01_kitipi2.wav,pngimages/01_gift.png,1,test1,trainingaudio/01_kitipi1.wav,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,111.85883202943951,None,111.85923864599317,112.86006856849417,112.86006856849417,None,113.8607625996694,None,111.85923864599317,113.86081768898293,113.86081768898293,114.86181185906753,114.86181185906753,None,f,0.2077064230106771,114.86181185906753,None,111.37015639385208,None,114.86181185906753,None,114.86181185906753,None,111.37015639385208,None,115.59455305784941,None,115.09577675908804,None,115.59491738537326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_26_1739,condition1,2020.1.3,59.91715254313671,
trainingaudio/18_popata1.wav,trainingaudio/18_popata2.wav,pngimages/18_donut.png,2,test1,trainingaudio/18_popata2.wav,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,117.11335431439802,None,117.11376357404515,118.11444926075637,118.11444926075637,None,119.1150779703632,None,117.11376357404515,119.11518629826605,119.11518629826605,120.11648593144491,120.11648593144491,None,j,0.3220061622560024,120.11648593144491,None,116.62726472923532,None,120.11648593144491,None,120.11648593144491,None,116.62726472923532,None,120.96583841815591,None,120.46661581890658,None,120.96607399079949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_26_1739,condition1,2020.1.3,59.91715254313671,
trainingaudio/08_tipako3.wav,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,2,test1,trainingaudio/08_tipako2.wav,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,122.48434402914718,None,122.48501495225355,123.48545823199674,123.48545823199674,None,124.4861802042462,None,122.48501495225355,124.48623529309407,124.48623529309407,125.48738238355145,125.48738238355145,None,j,0.3160252827219665,125.48738238355145,None,121.9967524278909,None,125.48738238355145,None,125.48738238355145,None,121.9967524278909,None,126.32017870880664,None,125.82064082985744,None,126.32049848232418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_26_1739,condition1,2020.1.3,59.91715254313671,
trainingaudio/06_titoka2.wav,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,2,test1,trainingaudio/06_titoka3.wav,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,127.83877493934706,None,127.83914681850001,128.83995937230065,128.83995937230065,None,129.84076818805187,None,127.83914681850001,129.84087349520996,129.84087349520996,130.84235436702147,130.84235436702147,None,j,0.366937518119812,130.84235436702147,None,127.3476846748963,None,130.84235436702147,None,130.84235436702147,None,127.3476846748963,None,131.72458960749208,None,131.2244090861641,None,131.72508797608316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_26_1739,condition1,2020.1.3,59.91715254313671,
trainingaudio/26_kapako1.wav,trainingaudio/26_kapako3.wav,pngimages/26_pineapple.png,1,test1,trainingaudio/26_kapako1.wav,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,133.25981147382407,None,133.26029587211087,134.2609589039348,134.2609589039348,None,135.26207129498943,None,133.26029587211087,135.26190738705918,135.26190738705918,136.26268860138953,136.2464541392401,None,f,0.3804549095220864,136.2464541392401,None,132.76721957093105,None,136.2464541392401,None,136.2464541392401,None,132.76721957093105,None,137.14573639566078,None,136.64630386186764,None,137.14597574435174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_26_1739,condition1,2020.1.3,59.91715254313671,
trainingaudio/16_kokapi3.wav,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,2,test1,trainingaudio/16_kokapi2.wav,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,138.66438850788398,None,138.66473508952186,139.6655079969205,139.6655079969205,None,140.66681672986596,None,138.66473508952186,140.66666905814782,140.66666905814782,141.6677919831127,141.6677919831127,None,j,0.17144809756428003,141.6677919831127,None,138.1731366389431,None,141.6677919831127,None,141.6677919831127,None,138.1731366389431,None,142.36667551454156,None,141.8667381554842,None,142.36717954697087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_26_1739,condition1,2020.1.3,59.91715254313671,
trainingaudio/22_kakoki3.wav,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,2,test1,trainingaudio/22_kakoki1.wav,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,143.91876844484358,None,143.91930192848668,144.91988529078662,144.91988529078662,None,145.920669941511,None,143.91930192848668,145.92072842875496,145.92072842875496,146.92180642206222,146.92180642206222,None,j,1.5651289061643183,146.92180642206222,None,143.42428221879527,None,146.92180642206222,None,146.92180642206222,None,143.42428221879527,None,149.00563807394354,None,148.50643926253542,None,149.00601410632953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,001,2020_Aug_26_1739,condition1,2020.1.3,59.91715254313671,
