firstAudio,secondAudio,imageLoc,whichAudio,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,instructions.started,instructions.stopped,notice.started,notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test1Instr.started,test1Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,oneWarningTest1.started,oneWarningTest1.stopped,twoWarningTest1.started,twoWarningTest1.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio2.started,test1Audio2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test2Instr.started,test2Instr.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,participant,session,date,expName,psychopyVersion,frameRate,
trainingaudio/27_pakapa1.wav,trainingaudio/27_pakapa2.wav,pngimages/27_kiwi.png,1,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,72.95047984822885,73.95254793285858,73.93587155606365,74.93786457763053,j,0.2389420794788748,74.93786457763053,None,72.94982142315712,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/22_kakoki2.wav,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,2,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,75.27023143036058,76.27156806585845,76.25345348451519,77.25547406938858,j,0.11269120220094919,77.25547406938858,None,75.27186975278892,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/12_pokika3.wav,trainingaudio/12_pokika2.wav,pngimages/12_pie.png,1,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,77.4553735574591,78.4559293561615,78.43937644817633,79.44031262164935,f,0.0960485809482634,79.44031262164935,None,77.45551439502742,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/26_kapako1.wav,trainingaudio/26_kapako3.wav,pngimages/26_pineapple.png,1,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,79.5903649730957,80.5910307232989,80.57488900063326,81.57402977824677,j,0.4172477318206802,81.57402977824677,None,79.58633777371142,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/03_kikita3.wav,trainingaudio/03_kikita2.wav,pngimages/03_box.png,1,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,82.02568273178767,83.02651031303685,83.00983695687027,84.01143200846855,f,0.2874694961355999,84.01143200846855,None,82.0206887749955,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/25_tapapi3.wav,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,2,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,84.3456392647,85.36081906291656,85.34406905797077,86.34635357174557,j,0.3196438961895183,86.34635357174557,None,84.34959359106142,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/16_kotapi2.wav,trainingaudio/16_kotapi1.wav,pngimages/16_icecream.png,1,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,86.68006370532093,87.68021337827668,87.67941879761638,88.6810606692452,j,0.1298329847631976,88.6810606692452,None,86.68767437140923,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/11_tokiko2.wav,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,2,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,88.84810618767514,89.84898663021158,89.83225210594246,90.833607393899,f,0.11341162596363574,90.833607393899,None,88.84579494118225,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/19_papipi2.wav,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,2,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,90.9830678500235,91.98409932479262,91.9672590780654,92.96697415574454,j,0.15672956279013306,92.96697415574454,None,90.9812349982094,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
trainingaudio/20_tatito3.wav,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,2,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,93.18485131432534,94.1857764624292,94.16928547773277,95.16910287970677,f,0.1447319386061281,95.15325166762341,None,93.1780488974182,None,,,,,,,1,001,2020_Jul_12_1539,sonority,2020.1.3,59.968458403179575,
