firstAudio,secondAudio,imageLoc,whichAudio,currentPhase,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,test3Loop.thisRepN,test3Loop.thisTrialN,test3Loop.thisN,test3Loop.thisIndex,instructions.started,instructions.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,test1Text.started,test1Text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test2warning3.started,test2warning3.stopped,test2warning2.started,test2warning2.stopped,test2warning1.started,test2warning1.stopped,test2Text.started,test2Text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,test2Audio1.started,test2Audio1.stopped,test2Audio1Sound.started,test2Audio1Sound.stopped,test1Audio2Mute.started,test1Audio2Mute.stopped,test2Audio2.started,test2Audio2.stopped,test2Audio2Mute1.started,test2Audio2Mute1.stopped,test2Audio2Sound.started,test2Audio2Sound.stopped,test2Audio2Mute2.started,test2Audio2Mute2.stopped,test2Response.keys,test2Response.rt,test2Response.started,test2Response.stopped,test2Image.started,test2Image.stopped,test2F.started,test2F.stopped,test2J.started,test2J.stopped,test2Instr.started,test2Instr.stopped,skipTest3Instr.keys,skipTest3Instr.started,skipTest3Instr.stopped,test3warning3.started,test3warning3.stopped,test3warning2.started,test3warning2.stopped,test3warning1.started,test3warning1.stopped,test3Audio1.started,test3Audio1.stopped,test3Audio1Sound.started,test3Audio1Sound.stopped,test3Audio1Mute.started,test3Audio1Mute.stopped,test3Audio2.started,test3Audio2.stopped,test3Audio2Mute1.started,test3Audio2Mute1.stopped,test3Audio2Sound.started,test3Audio2Sound.stopped,test3Audio2Mute2.started,test3Audio2Mute2.stopped,test3Response.keys,test3Response.rt,test3Response.started,test3Response.stopped,test3Image.started,test3Image.stopped,test3F.started,test3F.stopped,test3J.started,test3J.stopped,test3Instr.started,test3Instr.stopped,participant,ID Number,date,expName,psychopyVersion,frameRate,
novelaudio/68_pokopo2.wav,novelaudio/68_pokopo1.wav,pngimages/68_heart.png,2,test2,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.43149634841829,None,67.43108002690133,68.43168793327641,68.43168793327641,None,69.43227983028628,None,67.43108002690133,69.43391226662789,69.43391226662789,70.43471462756861,70.43471462756861,None,j,0.7012744134990498,70.43471462756861,None,66.93675847689155,None,70.43471462756861,None,70.43471462756861,None,66.93675847689155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/74_tatiko1.wav,novelaudio/74_tatiko2.wav,pngimages/74_boat.png,1,test2,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.71853314067702,None,71.71787554456387,72.72079236258287,72.70200390112586,None,73.7035771327326,None,71.71787554456387,73.72090148366988,73.70293463987764,74.7035806820495,74.7035806820495,None,f,0.16000398725736886,74.7035806820495,None,71.21987030829769,None,74.7035806820495,None,74.7035806820495,None,71.21987030829769,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/75_kakita3.wav,novelaudio/75_kakita1.wav,pngimages/75_chicken.png,2,test2,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.5059407181805,None,75.5066020146478,76.5216539283283,76.5071717853425,None,77.49078157132026,None,75.5066020146478,77.50773098366335,77.491541794152,78.50667677575257,78.50667677575257,None,j,0.07830061088316143,78.50667677575257,None,75.00467521557584,None,78.50667677575257,None,78.50667677575257,None,75.00467521557584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/29_pipito3.wav,novelaudio/29_pipito2.wav,pngimages/29_cherry.png,1,test2,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.17430662801489,None,79.18416090414394,80.193280255422,80.17485238448717,None,81.1768058407586,None,79.18416090414394,81.19349434424657,81.175697412109,82.1777442820603,82.1777442820603,None,f,1.8458311590366066,82.1777442820603,None,78.69214524503332,None,82.1777442820603,None,82.1777442820603,None,78.69214524503332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/62_pitako2.wav,novelaudio/62_pitako1.wav,pngimages/62_screwdriver.png,1,test2,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.61254107144195,None,84.61191519210115,85.612540467293,85.612540467293,None,86.61473595334682,None,84.61191519210115,86.61343042715453,86.61343042715453,87.61429924250115,87.61429924250115,None,f,0.14687207608949393,87.61429924250115,None,84.12567502155434,None,87.61429924250115,None,87.61429924250115,None,84.12567502155434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/40_kototi2.wav,novelaudio/40_kototi1.wav,pngimages/40_spoon.png,2,test2,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.38352573635056,None,88.38380001159385,89.39970639254898,89.38389591732994,None,90.38527280646376,None,88.38380001159385,90.38553235610016,90.38553235610016,91.38422516849823,91.38422516849823,None,j,0.015532197430729866,91.38422516849823,None,87.87839304283261,None,91.38422516849823,None,91.38422516849823,None,87.87839304283261,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/52_pakaki3.wav,novelaudio/52_pakaki1.wav,pngimages/52_newspaper.png,2,test2,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0540672714822,None,92.05335870175622,93.06878932984546,93.03569618880283,None,94.04841865047347,None,92.05335870175622,94.0634793995414,94.05619282939006,95.07062475406565,95.03743532975204,None,j,0.026314418297261,95.03743532975204,None,91.57045521994587,None,95.03743532975204,None,95.03743532975204,None,91.57045521994587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/46_tapiti1.wav,novelaudio/46_tapiti2.wav,pngimages/46_paper.png,1,test2,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6870556714246,None,95.69036230468191,96.69066059414763,96.69066059414763,None,97.6915809871396,None,95.69036230468191,97.689559188555,97.689559188555,98.69222113897558,98.69222113897558,None,f,0.693390131695196,98.69222113897558,None,95.20077298511751,None,98.69222113897558,None,98.69222113897558,None,95.20077298511751,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/78_kakoka1.wav,novelaudio/78_kakoka2.wav,pngimages/78_cow.png,1,test2,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.02401403996627,None,100.02636614697985,101.02749322808813,101.02749322808813,None,102.02602768277283,None,100.02636614697985,102.03156506828964,102.03156506828964,103.04613329994027,103.02732784731779,None,f,0.341721183154732,103.02732784731779,None,99.53576075518504,None,103.02732784731779,None,103.02732784731779,None,99.53576075518504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
novelaudio/37_kokiti1.wav,novelaudio/37_kokiti3.wav,pngimages/37_mug.png,1,test2,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.96154051793273,None,103.96134961268399,104.96416146296542,104.96416146296542,None,105.96271555190906,None,103.96134961268399,105.96572238544468,105.96572238544468,106.98038954345975,106.96966547030024,None,f,0.18992695305496454,106.96966547030024,None,103.4793474181788,None,106.96966547030024,None,106.96966547030024,None,103.4793474181788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomas,1032,2020_Oct_22_2250,experiment,2020.1.3,60.15258263435203,
