blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blockwords1.ran,audio,imageLoc,participant,session,date,expName,psychopyVersion,OS,frameRate,train1Response.keys,train1Response.rt,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,blocktest1.ran,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train1blocks.ran,condFiles,testFiles
0,0,0,0,1,trainingaudio/03_kikita3.wav,pngimages/03_box.png,othercomputertest,001,2020-07-28_22h14.45.527,sonorityaoi,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,othercomputertest,001,2020-07-28_22h14.45.527,sonorityaoi,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,othercomputertest,001,2020-07-28_22h14.45.527,sonorityaoi,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,othercomputertest,001,2020-07-28_22h14.45.527,sonorityaoi,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,othercomputertest,001,2020-07-28_22h14.45.527,sonorityaoi,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,othercomputertest,001,2020-07-28_22h14.45.527,sonorityaoi,2020.1.3,MacIntel,60,f,3.163555,0,0,0,0,1,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,-0.5,0.5,,,,,,,
,,,,,,,othercomputertest,001,2020-07-28_22h14.45.527,sonorityaoi,2020.1.3,MacIntel,60,j,0.59976,0,1,1,1,1,trainingaudio/03_kikita3.wav,pngimages/03_box.png,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,0.5,-0.5,,,,,,,
,,,,,,,othercomputertest,001,2020-07-28_22h14.45.527,sonorityaoi,2020.1.3,MacIntel,60,f,1.57844,0,2,2,2,1,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,0.5,-0.5,,,,,,,
,,,,,,,othercomputertest,001,2020-07-28_22h14.45.527,sonorityaoi,2020.1.3,MacIntel,60,,,,,,,,,,,,,,0,0,0,0,1,aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx
0,0,0,0,1,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,othercomputertest,001,2020-07-28_22h14.45.527,sonorityaoi,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,othercomputertest,001,2020-07-28_22h14.45.527,sonorityaoi,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,othercomputertest,001,2020-07-28_22h14.45.527,sonorityaoi,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,
