condFile,numWords,condFiles,testFiles,audio,imageLoc,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,audioTrue,imageTrue,currentPhase,imageFalse,truePos,falsePos,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.rt,skipTrain1Type.started,skipTrain1Type.stopped,imagetrain1p1.started,imagetrain1p1.stopped,stimuli1train1p1.started,stimuli1train1p1.stopped,stimuli2train1p1.started,stimuli2train1p1.stopped,stimuli3train1p1.started,stimuli3train1p1.stopped,stimuli4train1p1.started,stimuli4train1p1.stopped,stimuli5train1p1.started,stimuli5train1p1.stopped,listenTrain1p1.started,listenTrain1p1.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.started,train1QuestAdvance.stopped,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,23.487991043832153,None,25.65057883132249,None,h,1.6242240713909268,25.65057883132249,None,29.346550799906254,None,29.325176821369677,None,31.32545056734234,None,33.32485587736592,None,35.324260055366906,None,37.32376693449915,None,27.324777982663363,38.33992010401562,,,,,,thoma,001,2020_Aug_26_1414,condition1,2020.1.3,60.02130318306673,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,40.35635430691764,38.36567148985341,40.35547692263499,None,42.3556339962408,None,44.35516050998122,None,46.35456053381786,None,48.354012286569926,None,38.36567148985341,None,,,,,,thoma,001,2020_Aug_26_1414,condition1,2020.1.3,60.02130318306673,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.370803189929575,None,None,49.370803189929575,None,thoma,001,2020_Aug_26_1414,condition1,2020.1.3,60.02130318306673,
