condFiles,testFiles,audio,imageLoc,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/03_kikita3.wav,pngimages/03_box.png,0,0,0,0,0,0,0,0,18.451061757048592,None,20.546310318552422,None,20.571474905940704,None,delete1,001,2020_Jul_27_2012,sonority,2020.1.3,59.89032483671191,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,0,0,0,0,0,1,1,1,,,21.480507619539274,None,21.477935690432787,None,delete1,001,2020_Jul_27_2012,sonority,2020.1.3,59.89032483671191,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,0,0,0,0,0,2,2,2,,,22.48143193728756,None,22.47563320293557,None,delete1,001,2020_Jul_27_2012,sonority,2020.1.3,59.89032483671191,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,0,0,0,0,0,3,3,3,,,23.465508487995248,None,23.468985515995882,None,delete1,001,2020_Jul_27_2012,sonority,2020.1.3,59.89032483671191,
aoiConditions/train1Block1.xlsx,aoiConditions/train1Block1Test.xlsx,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,0,0,0,0,0,4,4,4,,,24.466315378074068,None,24.469263792969286,None,delete1,001,2020_Jul_27_2012,sonority,2020.1.3,59.89032483671191,
