condFile,numWords,condFiles,testFiles,audio,imageLoc,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,audioTrue,imageTrue,currentPhase,imageFalse,truePos,falsePos,instructions.started,instructions.stopped,text_3.started,text_3.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.rt,skipTrain1Type.started,skipTrain1Type.stopped,imagetrain1p1.started,imagetrain1p1.stopped,stimuli1train1p1.started,stimuli1train1p1.stopped,stimuli2train1p1.started,stimuli2train1p1.stopped,stimuli3train1p1.started,stimuli3train1p1.stopped,stimuli4train1p1.started,stimuli4train1p1.stopped,stimuli5train1p1.started,stimuli5train1p1.stopped,listenTrain1p1.started,listenTrain1p1.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.rt,train1QuestAdvance.started,train1QuestAdvance.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,chooseImageTrain1.started,chooseImageTrain1.stopped,train1F.started,train1F.stopped,train1J.started,train1J.stopped,participant,session,Experiment Type,date,expName,psychopyVersion,frameRate,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,12.759732627207995,None,12.759732627207995,13.763275093951961,15.284276348655112,None,i,2.923855844026548,15.284276348655112,None,20.284975251430296,None,20.26676700256503,None,22.25316010914248,None,24.254356663946236,None,26.258439826949324,None,28.26012308391655,None,18.273661031009397,29.27502032330085,,,,,,,,,,,,,,,,,,,,,,,Thomas,001,1,2020_Aug_29_1807,condition1,2020.1.3,59.960493279775854,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,31.31027281373099,29.3070286361326,31.309350609425746,None,33.29527438258374,None,35.29679452445562,None,37.2984917519163,None,39.30023768735846,None,29.3070286361326,None,,,,,,,,,,,,,,,,,,,,,,,Thomas,001,1,2020_Aug_29_1807,condition1,2020.1.3,59.960493279775854,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block1.xlsx,aoiConditions/train1P1Block1Test.xlsx,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.318171057107975,None,d,1.620859397444292,40.318171057107975,None,,,,,,,,,,,,,,,,,Thomas,001,1,2020_Aug_29_1807,condition1,2020.1.3,59.960493279775854,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.50227081104386,None,42.503157145139994,None,42.503157145139994,None,f,0.4753550867899321,43.48710050493537,None,42.00058374051878,None,43.48710050493537,None,43.48710050493537,None,,,,,,,,
