condFile,numWords,condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,currentPhase,imageFalse,truePos,falsePos,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.rt,skipTrain1Type.started,skipTrain1Type.stopped,imagetrain1p1.started,imagetrain1p1.stopped,stimuli1train1p1.started,stimuli1train1p1.stopped,stimuli2train1p1.started,stimuli2train1p1.stopped,stimuli3train1p1.started,stimuli3train1p1.stopped,stimuli4train1p1.started,stimuli4train1p1.stopped,stimuli5train1p1.started,stimuli5train1p1.stopped,listenTrain1p1.started,listenTrain1p1.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.started,train1QuestAdvance.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1Response.keys,train1Response.rt,train1Response.started,train1Response.stopped,chooseImageTrain1.started,chooseImageTrain1.stopped,train1F.started,train1F.stopped,train1J.started,train1J.stopped,correctFeed.started,correctFeed.stopped,incorrectFeed.started,incorrectFeed.stopped,fFeedback.started,fFeedback.stopped,jFeedback.started,jFeedback.stopped,circle.started,circle.stopped,xTrain.started,xTrain.stopped,train1Instructions.started,train1Instructions.stopped,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block3.xlsx,aoiConditions/train1P1Block3Test.xlsx,trainingaudio/03_kikita3.wav,pngimages/03_box.png,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,108.44595308974385,None,108.44509481079876,None,110.44527416164055,None,112.44485655706376,None,114.44413651060313,None,116.44369172072038,None,106.44982782332227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thoma,001,2020_Aug_26_1416,condition1,2020.1.3,59.951195921145846,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block3.xlsx,aoiConditions/train1P1Block3Test.xlsx,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,,,,,,,0,0,0,0,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,119.47616596939042,117.47928969515488,119.47528956690803,None,121.47545796772465,None,123.47495012171566,None,125.47439809888601,None,127.47378339711577,None,117.47928969515488,117.47928969515488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thoma,001,2020_Aug_26_1416,condition1,2020.1.3,59.951195921145846,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block3.xlsx,aoiConditions/train1P1Block3Test.xlsx,,,,,,,,,0,0,0,0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thoma,001,2020_Aug_26_1416,condition1,2020.1.3,59.951195921145846,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block3.xlsx,aoiConditions/train1P1Block3Test.xlsx,,,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,train1P1,pngimages/03_box.png,0.5,-0.5,0,0,0,0,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0396361257881,None,129.04037018027157,None,129.04037018027157,None,None,,130.0400892603211,None,128.54851837316528,None,130.0400892603211,None,130.0400892603211,None,138.60900567891076,None,138.60900567891076,None,138.60900567891076,None,138.60900567891076,None,138.60900567891076,None,138.60900567891076,None,138.60900567891076,None,thoma,001,2020_Aug_26_1416,condition1,2020.1.3,59.951195921145846,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block3.xlsx,aoiConditions/train1P1Block3Test.xlsx,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thoma,001,2020_Aug_26_1416,condition1,2020.1.3,59.951195921145846,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block4.xlsx,aoiConditions/train1P1Block4Test.xlsx,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,,,,,,,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,141.60344466939569,None,141.60250445548445,None,143.6027895291336,None,145.602108750958,None,147.60171833261847,None,149.60099451011047,None,139.61003156611696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thoma,001,2020_Aug_26_1416,condition1,2020.1.3,59.951195921145846,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block4.xlsx,aoiConditions/train1P1Block4Test.xlsx,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,,,,,,,0,0,0,0,0,3,3,3,0,1,1,1,,,,,,,,,,,,,,,,,152.633523886092,150.63365415111184,152.63321838527918,None,154.63307641493157,None,156.63246775465086,None,158.63187419762835,None,160.63130027521402,None,150.63365415111184,150.63365415111184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thoma,001,2020_Aug_26_1416,condition1,2020.1.3,59.951195921145846,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block4.xlsx,aoiConditions/train1P1Block4Test.xlsx,,,,,,,,,0,0,0,0,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thoma,001,2020_Aug_26_1416,condition1,2020.1.3,59.951195921145846,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block4.xlsx,aoiConditions/train1P1Block4Test.xlsx,,,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,train1P1,pngimages/25_apple.png,0.5,-0.5,0,0,0,0,0,3,3,3,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.18031441187486,None,162.1810673456639,None,162.1810673456639,None,j,5.1041968101635575,163.18093103868887,None,161.6792689282447,None,163.18093103868887,None,163.18093103868887,None,168.33707956410944,None,168.33707956410944,None,168.33707956410944,None,168.33707956410944,None,168.33707956410944,None,168.33707956410944,None,168.33707956410944,None,thoma,001,2020_Aug_26_1416,condition1,2020.1.3,59.951195921145846,
aoiConditions/train1P1LoopCondition.xlsx,two,aoiConditions/train1P1Block4.xlsx,aoiConditions/train1P1Block4Test.xlsx,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thoma,001,2020_Aug_26_1416,condition1,2020.1.3,59.951195921145846,
