condFiles,testFiles,audio,imageLoc,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,firstAudio,secondAudio,whichAudio,instructions.started,instructions.stopped,stimulitrain1.started,stimulitrain1.stopped,imagetrain1.started,imagetrain1.stopped,stimulitest1.started,stimulitest1.stopped,correct.started,correct.stopped,incorrect.started,incorrect.stopped,train1TestAnswer.keys,train1TestAnswer.rt,train1TestAnswer.started,train1TestAnswer.stopped,notice.started,notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulitrain2.started,stimulitrain2.stopped,imagetrain2.started,imagetrain2.stopped,stimulitest2.started,stimulitest2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,correct2.started,correct2.stopped,incorrect2.started,incorrect2.stopped,test1Instr.started,test1Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,oneWarningTest1.started,oneWarningTest1.stopped,twoWarningTest1.started,twoWarningTest1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,29.160249218321404,None,29.15772033436224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,30.17681858872529,30.1673758259858,30.1673758259858,30.1673758259858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,31.194204666046424,31.18904857611051,31.18904857611051,31.18904857611051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,32.21180181098171,32.204297924705315,32.204297924705315,32.204297924705315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainingaudio/03_kikita3.wav,pngimages/03_box.png,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,33.21312794958358,34.213542608660646,33.217584231635556,33.217584231635556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,34.246959097834775,None,34.23840478225611,34.23840478225611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,,,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,0.5,-0.5,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,35.26434517515591,None,35.263714766537305,None,35.263714766537305,None,f,-5.73877915344201,36.24918961757794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,,,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,trainingaudio/03_kikita3.wav,pngimages/03_box.png,-0.5,0.5,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,36.28260610675207,37.283583814045414,36.27723026491003,None,36.27723026491003,None,j,1.2831371361389756,37.26695667376043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,,,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,-0.5,0.5,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,38.58474196706666,39.58528092561755,38.58118342072703,None,38.58118342072703,None,j,0.6158381477580406,39.56855787988752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
autoConditions/train1Block2.xlsx,autoConditions/train1Block2Test.xlsx,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Jul_10_0014,sonority,2020.1.3,60.013573322230414,
