firstAudio,secondAudio,imageLoc,whichAudio,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,instructions.started,instructions.stopped,notice.started,notice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test1Instr.started,test1Instr.stopped,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,oneWarningTest1.started,oneWarningTest1.stopped,twoWarningTest1.started,twoWarningTest1.stopped,threeWarningTest1.started,threeWarningTest1.stopped,fourWarningTest1.started,fourWarningTest1.stopped,test1Audio1.started,test1Audio1.stopped,test1Audio1Sound.started,test1Audio1Sound.stopped,test1Audio1Mute.started,test1Audio1Mute.stopped,test1Audio2.started,test1Audio2.stopped,test1Audio2Mute1.started,test1Audio2Mute1.stopped,test1Audio2Sound.started,test1Audio2Sound.stopped,test1Audio2Mute2.started,test1Audio2Mute2.stopped,test1Response.keys,test1Response.rt,test1Response.started,test1Response.stopped,test1Image.started,test1Image.stopped,test1F.started,test1F.stopped,test1J.started,test1J.stopped,participant,session,date,expName,psychopyVersion,frameRate,
trainingaudio/25_tapapi1.wav,trainingaudio/25_tapapi2.wav,pngimages/25_apple.png,1,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,51.38634245579596,52.38682945922483,51.378398083965294,52.38682945922483,52.37066636560485,None,52.37011728780344,53.37104885478038,51.378398083965294,52.38682945922483,52.37066636560485,53.37104885478038,53.37104885478038,None,j,0.06847537856083363,53.37104885478038,None,51.378398083965294,None,51.378398083965294,None,51.378398083965294,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/06_titoka2.wav,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,2,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,53.50472379783168,54.50566276535392,53.501190322916955,54.50566276535392,54.48921837413218,None,54.488650417374444,55.48939545941539,53.501190322916955,54.50566276535392,54.48921837413218,55.48939545941539,55.48939545941539,None,f,0.0777136436663568,55.48939545941539,None,53.501190322916955,None,53.501190322916955,None,53.501190322916955,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/18_popata2.wav,trainingaudio/18_popata1.wav,pngimages/18_donut.png,1,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,55.62309464321006,56.624052791739814,55.62593314331025,56.64031518914271,56.624052791739814,None,56.623617743444626,57.62451985897496,55.62593314331025,56.64031518914271,56.624052791739814,57.62451985897496,57.62451985897496,None,j,0.08239526569377631,57.62451985897496,None,55.62593314331025,None,55.62593314331025,None,55.62593314331025,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/12_pokika1.wav,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,2,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,57.775282213161695,58.77569067990407,57.77924786694348,58.792008959222585,58.77569067990407,None,58.77543724777642,59.77625969389919,57.77924786694348,58.792008959222585,58.77569067990407,59.77625969389919,59.77625969389919,None,f,0.07815088192000985,59.77625969389919,None,57.77924786694348,None,57.77924786694348,None,57.77924786694348,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/13_kopopi1.wav,trainingaudio/13_kopopi2.wav,pngimages/13_toast.png,1,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,59.90995963288005,60.910939681110904,59.91426314576529,60.9272084973054,60.910939681110904,None,60.91072853801306,61.911351621500216,59.91426314576529,60.9272084973054,60.910939681110904,61.911351621500216,61.911351621500216,None,j,0.052069878089241683,61.911351621500216,None,59.91426314576529,None,59.91426314576529,None,59.91426314576529,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/23_patoko2.wav,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,2,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,62.02834814900998,63.02884300611913,62.02496185491327,63.02884300611913,63.01252888015006,None,63.01224637434352,64.01331726857461,62.02496185491327,63.02884300611913,63.01252888015006,64.01331726857461,64.01331726857461,None,f,0.014530057553201914,64.01331726857461,None,62.02496185491327,None,62.02496185491327,None,62.02496185491327,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/08_tipako2.wav,trainingaudio/08_tipako1.wav,pngimages/08_bell.png,1,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,64.09692124538124,65.09721115173306,64.09196278115269,65.09721115173306,65.08106278371997,None,65.08075460239779,66.08168428146746,64.09196278115269,65.09721115173306,65.08106278371997,66.08168428146746,66.08168428146746,None,j,0.09154102357570082,66.08168428146746,None,64.09196278115269,None,64.09196278115269,None,64.09196278115269,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/09_tipata2.wav,trainingaudio/09_tipata3.wav,pngimages/09_plane.png,1,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,66.24861199471634,67.24908918107394,66.24886489822529,67.24908918107394,67.23276146233547,None,67.23255636049434,68.23328101320658,66.24886489822529,67.24908918107394,67.23276146233547,68.23328101320658,68.23328101320658,None,f,0.08917472581379116,68.23328101320658,None,66.24886489822529,None,66.24886489822529,None,66.24886489822529,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/21_papika1.wav,trainingaudio/21_papika3.wav,pngimages/21_cheese.png,1,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,68.41719524806831,69.41739272268023,68.41813466860913,69.41739272268023,69.40122472052462,78.40796680003405,69.40085084021557,70.40177749854047,68.41813466860913,69.41739272268023,69.40122472052462,70.40177749854047,70.40177749854047,78.40796680003405,None,,70.40177749854047,78.40796680003405,68.41813466860913,None,68.41813466860913,None,68.41813466860913,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/10_tokiti1.wav,trainingaudio/10_tokiti3.wav,pngimages/10_backpack.png,1,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,78.45830902024171,79.46001817670185,78.45897945237812,79.46001817670185,79.46001817670185,None,79.45921989572234,80.46079372731037,78.45897945237812,79.46001817670185,79.46001817670185,80.46079372731037,80.46079372731037,None,j,3.6178634902462363,80.46079372731037,None,78.45897945237812,78.45897945237812,78.45897945237812,78.45897945237812,78.45897945237812,78.45897945237812,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
trainingaudio/05_titopo1.wav,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,2,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,84.13035230918321,85.13106918369886,84.13364805933088,85.14731043658685,85.13106918369886,None,85.13074589911848,86.13148187927436,84.13364805933088,85.14731043658685,85.13106918369886,86.13148187927436,86.13148187927436,None,j,1.101084751309827,86.13148187927436,None,84.13364805933088,None,84.13364805933088,None,84.13364805933088,None,delete,001,2020_Jul_16_1744,sonority,2020.1.3,59.955561506797196,
